"Agency","Subagency","accountID","Title","Obligation"
"Department of Commerce","National Oceanic and Atmospheric Administration",602,"Limited Access System Administration Fund, National Oceanic and Atmospheric Administration, Commerce",2711717.85
"Department of Commerce","National Oceanic and Atmospheric Administration",571,"Expenses, Pacific Coastal Salmon Recovery, National Oceanic and Atmospheric, Commerce",322536.42
"Department of Commerce","National Oceanic and Atmospheric Administration",609,"Sanctuaries Enforcement Asset Forfeiture Fund, National Oceanic and Atmospheric Administration, Commerce",0
"Department of Commerce","National Oceanic and Atmospheric Administration",576,"Coastal Impact Assistance, National Oceanic and Atmospheric Administration, Commerce",0
"Department of Commerce","National Oceanic and Atmospheric Administration",577,"NOAA Accrual Contribution to the Uniformed Services Retiree Health, Commerce",1365012
"Department of Commerce","National Oceanic and Atmospheric Administration",608,"Fisheries Enforcement Asset Forfeiture Fund, National Oceanic and Atmospheric Administration, Commerce",2504907.03
"Department of Commerce","National Oceanic and Atmospheric Administration",600,"Promote and Develop Fishery Products and Research Pertaining to American Fisheries, National Oceanic and Atmospheric Administration, Commerce",309267.19
"Department of Commerce","National Oceanic and Atmospheric Administration",606,"Western Pacific Sustainable Fisheries Fund, National Oceanic and Atmospheric Administration, Commerce",18250
"Department of Commerce","National Oceanic and Atmospheric Administration",598,"Fishermen's Contingency Fund, National Oceanic and Atmospheric Administration, Commerce",19640.49
"Department of Commerce","National Oceanic and Atmospheric Administration",581,"Fisheries Disaster Assistance, National Oceanic and Atmospheric Administration, Commerce",0
"Department of Commerce","National Oceanic and Atmospheric Administration",610,"North Pacific Fishery Observer Fund, National Oceanic and Atmospheric Administration, Commerce",0
"Department of Commerce","National Oceanic and Atmospheric Administration",604,"Environmental Improvement and Restoration Fund, National Oceanic and Atmospheric Administration, Commerce",0
"Department of Commerce","National Oceanic and Atmospheric Administration",583,"Coastal Zone Management Fund, National Oceanic Atmospheric Administration, Commerce",0
"Department of Commerce","National Oceanic and Atmospheric Administration",585,"Damage Assessment and Restoration Revolving Fund, National Oceanic and Atmospheric Administration, Commerce",11847035.78
"Department of Commerce","National Oceanic and Atmospheric Administration",574,"Fisheries Finance Program Account, National Oceanic and Atmospheric Administration, Commerce",0
"Department of Commerce","National Oceanic and Atmospheric Administration",592,"Federal Ship Financing Fund, Fishing Vessels, Liquidating Account, National Oceanic and Atmospheric Administration, Commerce",0
"Department of Commerce","U.S. Patent and Trademark Office",566,"Salaries and Expenses, Patent and Trademark Office, Commerce",1664093980.01
"Department of Commerce","National Technical Information Service",582,"NTIS Revolving Fund, National Technical Information Service, Commerce",89549700.51
"Department of Commerce","National Institute of Standards and Technology",554,"Scientific and Technical Research and Services, National Institute of Standards and Technology, Commerce",284887928.58
"Department of Commerce","National Institute of Standards and Technology",560,"Scientific and Technical Research and Services - Recovery Act, National Institute of Standards and Technology, Commerce",0
"Department of Commerce","National Institute of Standards and Technology",559,"Industrial Technology Services, National Institute of Standards and Technology, Commerce",63486298.22
"Department of Commerce","National Institute of Standards and Technology",557,"Construction of Research Facilities, National Institute of Standards and Technology, Commerce",26970576.86
"Department of Commerce","National Institute of Standards and Technology",597,"Working Capital Fund, National Institute of Standards and Technology, Commerce",67803131.96
"Department of Commerce","National Institute of Standards and Technology",555,"Wireless Innovation(WIN) Fund, National Institute of Standards and Technology, Commerce",10299855.24
"Department of Commerce","National Telecommunications and Information Administration",561,"Salaries and Expenses, National Telecommunications and Information Administration, Commerce",37641845.55
"Department of Commerce","National Telecommunications and Information Administration",562,"Public Telecommunications Facilities, Planning and Construction, National Telecommunications and Information, Commerce",29790.79
"Department of Commerce","National Telecommunications and Information Administration",563,"Information Infrastructure Grants, National Telecommunications and Information Administration, Commerce",0
"Department of Commerce","National Telecommunications and Information Administration",564,"Broadband Technology Opportunities Program - Recovery Act, National Telecommunications and Information Administration, Commerce",0
"Department of Commerce","National Telecommunications and Information Administration",605,"Digital Television Transition and Public Safety Fund, National Telecommunications and Information Administration, Commerce",0
"Department of Commerce","National Telecommunications and Information Administration",624,"Public Safety Trust Fund, National Telecommunications and Information Administration, Commerce",6486510.42
"Department of Commerce","National Telecommunications and Information Administration",558,"State and Local Implementation Fund, National Telecommunications and Information Administration, Commerce",822185.5
"Department of Commerce","National Telecommunications and Information Administration",590,"Network Construction Fund, Telecommunications and Information Administration, Commerce",1027773850.73
"Department of Defense","Military Personnel",1384,"Military Personnel, Army",23303615045.45
"Department of Defense","Military Personnel",1379,"Medicare-Eligible Retiree Health Fund Contribution, Army",1954925000
"Department of Defense","Military Personnel",1055,"Military Personnel, Navy",14306012214.28
"Department of Defense","Military Personnel",1037,"Medicare-Eligible Retiree Health Fund Contribution, Navy",1352369000
"Department of Defense","Military Personnel",1041,"Military Personnel, Marine Corps",6547801634.38
"Department of Defense","Military Personnel",1038,"Medicare-Eligible Retiree Health Fund Contribution, Marine Corps",766286000
"Department of Defense","Military Personnel",1692,"Military Personnel, Air Force",14066845980.85
"Department of Defense","Military Personnel",1679,"Medicare-Eligible Retiree Health Fund Contribution, Air Force",1319491000
"Department of Defense","Military Personnel",1399,"Reserve Personnel, Army",2270867079.05
"Department of Defense","Military Personnel",1380,"Medicare-Eligible Retiree Health Fund Contribution, Reserve Personnel, Army",376452000
"Department of Defense","Military Personnel",1054,"Reserve Personnel, Navy",965697247.49
"Department of Defense","Military Personnel",1039,"Medicare-Eligible Retiree Health Fund Contribution, Reserve Personnel, Navy",123448000
"Department of Defense","Military Personnel",1044,"Reserve Personnel, Marine Corps",348027649.7
"Department of Defense","Military Personnel",1040,"Medicare-Eligible Retiree Health Fund Contribution, Reserve Personnel, Marine Corps",71630000
"Department of Defense","Military Personnel",1695,"Reserve Personnel, Air Force",926633418.64
"Department of Defense","Military Personnel",1680,"Medicare-Eligible Retiree Health Fund Contribution, Reserve Personnel, Air Force",125293000
"Department of Defense","Military Personnel",1396,"National Guard Personnel, Army",4188967535.61
"Department of Defense","Military Personnel",1381,"Medicare-Eligible Retiree Health Fund Contribution, National Guard Personnel, Army",654412000
"Department of Defense","Military Personnel",1703,"National Guard Personnel, Air Force",1599090128.23
"Department of Defense","Military Personnel",1681,"Medicare-Eligible Retiree Health Fund Contribution, National Guard Personnel, Air Force",216337000
"Department of Defense","Military Personnel",2905,"Concurrent Receipt Accrual Payments to the Military Retirement Fund, Defense",6769323000
"Department of Defense","Operation and Maintenance",1385,"Operation and Maintenance, Army",28952474671.35
"Department of Defense","Operation and Maintenance",1061,"Operation and Maintenance, Navy",25992795680.78
"Department of Defense","Operation and Maintenance",1042,"Operation and Maintenance, Marine Corps",3571742080.87
"Department of Defense","Operation and Maintenance",1690,"Operation and Maintenance, Air Force",24979928539.39
"Department of Defense","Operation and Maintenance",2906,"Operation and Maintenance, Defense-Wide, Defense",20431906005.79
"Department of Defense","Operation and Maintenance",2909,"Office of the Inspector General, Defense",148292800.51
"Department of Defense","Operation and Maintenance",1400,"Operation and Maintenance, Army Reserve",1375466735.28
"Department of Defense","Operation and Maintenance",1063,"Operation and Maintenance, Navy Reserve",515453100.75
"Department of Defense","Operation and Maintenance",1043,"Operation and Maintenance, Marine Corps Reserve",161070874.59
"Department of Defense","Operation and Maintenance",1697,"Operation and Maintenance, Air Force Reserve",1590169558.35
"Department of Defense","Operation and Maintenance",1397,"Operation and Maintenance, Army National Guard",3331411158.57
"Department of Defense","Operation and Maintenance",1701,"Operation and Maintenance, Air National Guard",3520220223.43
"Department of Defense","Operation and Maintenance",2913,"Overseas Contingency Operations Transfer Fund, Defense",0
"Department of Defense","Operation and Maintenance",2907,"United States Court of Appeals for the Armed Forces, Defense",12042905.54
"Department of Defense","Operation and Maintenance",2908,"Drug Interdiction and Counter-Drug Activities, Defense",0
"Department of Defense","Operation and Maintenance",2949,"Support for International Sporting Competitions, Defense",603299.06
"Department of Defense","Operation and Maintenance",2940,"Foreign Currency Fluctuations, Defense",0
"Department of Defense","Operation and Maintenance",2914,"Defense Health Program, Defense",18075766478.5
"Department of Defense","Operation and Maintenance",2943,"Environmental Restoration, Defense",0
"Department of Defense","Operation and Maintenance",1378,"Environmental Restoration, Army",0
"Department of Defense","Operation and Maintenance",1678,"Environmental Restoration, Air Force",0
"Department of Defense","Operation and Maintenance",1036,"Environmental Restoration, Navy",0
"Department of Defense","Operation and Maintenance",2910,"Department of Defense Acquisition Workforce Development Fund",291379674.22
"Department of Defense","Operation and Maintenance",2944,"Environmental Restoration, Formerly Used Defense Sites, Defense",0
"Department of Defense","Operation and Maintenance",2945,"Overseas Humanitarian, Disaster, and Civic AID, Defense",35356168.61
"Department of Defense","Operation and Maintenance",2916,"Cooperative Threat Reduction Account, Defense",105579783.67
"Department of Defense","Operation and Maintenance",2974,"Contributions to the Cooperative Threat Reduction Program, Defense",800000
"Department of Defense","Operation and Maintenance",2921,"Counterterrorism Partnerships Fund, Defense",0
"Department of Defense","Operation and Maintenance",1051,"Payments to Kaho'Olawe Island Conveyance, Remediation, and Environmental Restoration Fund, Navy",0
"Department of Defense","Operation and Maintenance",1406,"Afghanistan Security Forces Fund, Army",1541936593.25
"Department of Defense","Operation and Maintenance",1411,"Afghanistan Infrastructure Fund, Army",14114922.13
"Department of Defense","Operation and Maintenance",1407,"Iraq Security Forces Fund, Army",0
"Department of Defense","Operation and Maintenance",1410,"Pakistan Counterinsurgency Fund, Army",0
"Department of Defense","Operation and Maintenance",1412,"Iraq Train and Equip Fund, Army",368135460.52
"Department of Defense","Operation and Maintenance",1033,"Ship Modernization, Operations and Sustainment Fund, Navy",0
"Department of Defense","Operation and Maintenance",2946,"Defense Emergency Response Fund, Defense",0
"Department of Defense","Operation and Maintenance",2963,"Emergency Response Fund, Defense",0
"Department of Defense","Operation and Maintenance",2964,"Defense Cooperation Account, Defense",0
"Department of Defense","Operation and Maintenance",2970,"Burden Sharing Contribution, Defense",230855424.29
"Department of Defense","Operation and Maintenance",2968,"Use of Proceeds from the Transfer or Disposition of Commissary Facilities, Defense",0
"Department of Defense","Operation and Maintenance",1419,"National Science Center, Army",0
"Department of Defense","Operation and Maintenance",1417,"Restoration, Rocky Mountain Arsenal, Army",1773579.7
"Department of Defense","Operation and Maintenance",1069,"Kaho'Olawe Island Conveyance, Remediation, and Environmental Restoration Fund, Navy",0
"Department of Defense","Operation and Maintenance",2965,"Disposal of Department of Defense Real Property, Defense",520766.22
"Department of Defense","Operation and Maintenance",2966,"Lease of Department of Defense Real Property, Defense",7187809.81
"Department of Defense","Operation and Maintenance",2967,"Department of Defense Overseas Military Facility Investment Recovery Account, Defense",0
"Department of Defense","Operation and Maintenance",2972,"Mutually Beneficial Activities, Defense",456817.73
"Department of Defense","Operation and Maintenance",2973,"Department of Defense Vietnam War Commemoration Fund, Defense",682787.05
"Department of Defense","Operation and Maintenance",1421,"Department of Defense Korean War Commemoration Fund, Army",0
"Department of Defense","International Reconstruction and Other Assistance",1405,"Operating Expenses of the Coalition Provisional Authority, Army",0
"Department of Defense","International Reconstruction and Other Assistance",1404,"Iraq Relief and Reconstruction Fund, Army",0
"Department of Defense","Procurement",1387,"Aircraft Procurement, Army",1866980796.27
"Department of Defense","Procurement",1388,"Missile Procurement, Army",744397344.2
"Department of Defense","Procurement",1389,"Procurement of Weapons and Tracked Combat Vehicles, Army",1347486147.05
"Department of Defense","Procurement",1390,"Procurement of Ammunition, Army",1384751026.08
"Department of Defense","Procurement",1391,"Other Procurement, Army",2973331929.13
"Department of Defense","Procurement",1408,"Joint Improvised Explosive Device Defeat Fund, Army",213623173.7
"Department of Defense","Procurement",1056,"Aircraft Procurement, Navy",9940481291.59
"Department of Defense","Procurement",1057,"Weapons Procurement, Navy",1768804770.08
"Department of Defense","Procurement",1058,"Procurement of Ammunition, Navy and Marine Corps",477553773.69
"Department of Defense","Procurement",1059,"Shipbuilding and Conversion, Navy",9544702345.08
"Department of Defense","Procurement",1060,"National Sea-Based Deterrence Fund, Navy",250058274
"Department of Defense","Procurement",1065,"Other Procurement, Navy",3845973367.79
"Department of Defense","Procurement",1032,"Coastal Defense Augmentation, Navy",0
"Department of Defense","Procurement",1045,"Procurement, Marine Corps",563253580.97
"Department of Defense","Procurement",1682,"Aircraft Procurement, Air Force",11320257948.79
"Department of Defense","Procurement",1684,"Missile Procurement, Air Force",1403965101.41
"Department of Defense","Procurement",1685,"Space Procurement, Air Force",1201215377.39
"Department of Defense","Procurement",1683,"Procurement of Ammunition, Air Force",1091818704.14
"Department of Defense","Procurement",1687,"Other Procurement, Air Force",10156950951.34
"Department of Defense","Procurement",2923,"Procurement, Defense-Wide",2169531994.36
"Department of Defense","Procurement",2924,"National Guard and Reserve Equipment, Defense",428305898.51
"Department of Defense","Procurement",2925,"Defense Production Act Purchases, Defense",3682523.17
"Department of Defense","Procurement",2926,"Chemical Agents and Munitions Destruction, Defense",274403410.75
"Department of Defense","Procurement",1373,"Chemical Agents and Munitions Destruction, Army",0
"Department of Defense","Procurement",2920,"Mine Resistant Ambush Protected Vehicle Fund, Defense",0
"Department of Defense","Research, Development, Test, and Evaluation",1392,"Research, Development, Test, and Evaluation, Army",5518802164.53
"Department of Defense","Research, Development, Test, and Evaluation",1052,"Research, Development, Test, and Evaluation, Navy",9349031437.27
"Department of Defense","Research, Development, Test, and Evaluation",1693,"Research, Development, Test, and Evaluation, Air Force",14394854411.79
"Department of Defense","Research, Development, Test, and Evaluation",1686,"Tanker Replacement Transfer Fund, Air Force",0
"Department of Defense","Research, Development, Test, and Evaluation",2928,"Research, Development, Test, and Evaluation, Defense-Wide",9801164948.04
"Department of Defense","Research, Development, Test, and Evaluation",2930,"Operational Test and Evaluation, Defense",82799616.14
"Department of Defense","Research, Development, Test, and Evaluation",2975,"Contributions for Renewable Energy Impact Assessments and Mitigation, Defense",0
"Department of Defense","Military Construction",1394,"Military Construction, Army",1603436050.64
"Department of Defense","Military Construction",1395,"Military Construction - Recovery Act, Army",0
"Department of Defense","Military Construction",1048,"Military Construction, Navy and Marine Corps",1323005101.76
"Department of Defense","Military Construction",1070,"Ford Island Improvement Account",0
"Department of Defense","Military Construction",1049,"Military Construction - Recovery Act, Navy and Marine Corps",0
"Department of Defense","Military Construction",1688,"Military Construction, Air Force",403448278.97
"Department of Defense","Military Construction",1689,"Military Construction - Recovery Act, Air Force",0
"Department of Defense","Military Construction",2932,"Military Construction, Defense-Wide",894575374.05
"Department of Defense","Military Construction",2933,"Military Construction - Recovery Act, Defense-Wide",517123.98
"Department of Defense","Military Construction",2942,"North Atlantic Treaty Organization, Security Investment Program, Defense",231851891.96
"Department of Defense","Military Construction",1402,"Military Construction, Army National Guard",64592799.81
"Department of Defense","Military Construction",1409,"Military Construction - Recovery Act, Army National Guard",0
"Department of Defense","Military Construction",1699,"Military Construction, Air National Guard",18095164.45
"Department of Defense","Military Construction",1700,"Military Construction - Recovery Act, Air National Guard",0
"Department of Defense","Military Construction",1403,"Military Construction, Army Reserve",10821947.46
"Department of Defense","Military Construction",1050,"Military Construction, Naval Reserve",2399369.49
"Department of Defense","Military Construction",1696,"Military Construction, Air Force Reserve",33100348.42
"Department of Defense","Military Construction",2927,"Chemical Demilitarization Construction, Defense-Wide",289769.36
"Department of Defense","Military Construction",2936,"Department of Defense Base Closure Account, Defense",102778732.65
"Department of Defense","Military Construction",2934,"Department of Defense Base Closure Account 1990, Defense",849515.76
"Department of Defense","Military Construction",2935,"Department of Defense Base Closure Account 2005, Defense",10203885.94
"Department of Defense","Military Construction",2941,"Foreign Currency Fluctuations, Construction, Defense",0
"Department of Defense","Family Housing",1374,"Family Housing Construction, Army",5187766.59
"Department of Defense","Family Housing",1375,"Family Housing Construction - Recovery Act, Army",0
"Department of Defense","Family Housing",1376,"Family Housing Operation and Maintenance, Army",140564191.94
"Department of Defense","Family Housing",1034,"Family Housing Construction, Navy and Marine Corps",10609765.29
"Department of Defense","Family Housing",1035,"Family Housing Operation and Maintenance, Navy and Marine Corps",129415973.54
"Department of Defense","Family Housing",1674,"Family Housing Construction, Air Force",1390133.16
"Department of Defense","Family Housing",1675,"Family Housing Construction - Recovery Act, Air Force",0
"Department of Defense","Family Housing",1676,"Family Housing Operation and Maintenance, Air Force",114548004.57
"Department of Defense","Family Housing",2937,"Family Housing Construction, Defense-Wide",0
"Department of Defense","Family Housing",2938,"Family Housing Operation and Maintenance, Defense-Wide",30867099.45
"Department of Defense","Family Housing",2953,"Homeowners Assistance Fund, Defense",2053144.48
"Department of Defense","Family Housing",2954,"Homeowners Assistance Fund - Recovery Act, Defense",0
"Department of Defense","Family Housing",2947,"Department of Defense Family Housing Improvement Fund, Defense",2080045.86
"Department of Defense","Family Housing",2948,"Department of Defense Military Unaccompanied Housing Improvement Fund, Defense",0
"Department of Defense","Revolving and Management Funds",2959,"National Defense Stockpile Transaction Fund, Defense",15773986.67
"Department of Defense","Revolving and Management Funds",2962,"Pentagon Reservation Maintenance Revolving Fund",321872446.24
"Department of Defense","Revolving and Management Funds",1066,"National Defense Sealift Fund, Navy",524696611.17
"Department of Defense","Revolving and Management Funds",2960,"Defense Working Capital Fund, Defense",64802572308.21
"Department of Defense","Revolving and Management Funds",2961,"Building Maintenance Fund, Defense",292115581.3
"Department of Defense","Allowances",2952,"Consolidated Reporting for DOD Closed Accounts, Defense",0
"Department of Defense","Trust Funds",3001,"Voluntary Separation Incentive Fund, Defense",27490700.28
"Department of Defense","Trust Funds",3002,"Host Nation Support for U.S. Relocation Activities, Defense",233160780.71
"Department of Defense","Trust Funds",3003,"Support for U.S. Relocation to Guam Activities, Defense",4765221.81
"Department of Defense","Trust Funds",2996,"Department of Defense General Gift Fund, Defense",378311.26
"Department of Defense","Trust Funds",1727,"Department of the Air Force General Gift Fund, Air Force",2869705.9
"Department of Defense","Trust Funds",1443,"Bequest of Major General Fred C. Ainsworth, Library, Walter Reed General Hospital, Army",0
"Department of Defense","Trust Funds",1444,"Department of the Army General Gift Fund, Army",7423810.19
"Department of Defense","Trust Funds",1089,"Department of the Navy General Gift Fund, Navy",1436720.79
"Department of Defense","Trust Funds",1090,"Ships' Stores Profits, Navy",7576408.84
"Department of Defense","Trust Funds",1091,"United States Naval Academy General Gift Fund",7980841.65
"Department of Defense","Trust Funds",2999,"National Security Education Trust Fund, Defense",0
"Department of Defense","Trust Funds",2998,"Foreign National Employees Separation Pay Account, Defense",5753512.51
"Department of Defense","Trust Funds",1726,"Air Force Cadet Fund, Air Force",0
"Department of Defense","Trust Funds",2997,"Surcharge Collections, Sales of Commissary Stores, Defense Commissary Agency, Defense",89832496.44
