zip,value
10217,1057754
10218,3098700
10219,1409165
10220,1545227
10221,3495484
10222,2295450
10223,2644705
10224,1893580
10225,3769133
10226,1885856
10227,1237492
10228,3302985
10229,3143508
10230,2922937
10231,1969349
10232,1518206
10233,2628440
10234,1638685
10235,2858746
10236,2152955
10237,1581771
10238,2867708
10239,1315988
10240,2581815
10241,1492389
10242,1872855
10243,2307584
10244,1620970
10245,3590887
10246,2053915
10247,2756638
10248,1572403
10249,1131798
10250,3024458
10251,2495953
10252,1409353
10253,2965689
10254,3789957
10255,3497077
10256,3357725
10257,1149611
10258,3258793
10259,2532405
10260,3767719
10261,2986666
10262,2238940
10263,3308613
10264,2946911
10265,1617071
10266,3693147
10267,1519722
10268,3075263
10269,1132824
10270,3268967
10271,1804967
10272,2959123
10273,3329214
10274,3394574
10275,2734570
10276,2725029
10277,3204859
10278,1270368
10279,3152915
10280,3269874
10281,1800456
10282,2171586
10283,1333740
10284,2440994
10285,1703454
10286,1799346
10287,2119553
10288,2734706
10289,2761133
10290,3144718
10291,2321090
10292,3094909
10293,1365034
10294,2148394
10295,2148344
10296,3777473
10297,2872013
10298,1159908
10299,1454854
10300,3280335
10301,3034196
10302,1828819
10303,1628589
10304,2362479
10305,2022451
10306,2228883
10307,2265794
10308,1258711
10309,2505824
10310,2950183
10311,1902929
10312,2224038
10313,2984472
10314,3062833
10315,2718649
10316,2864378
10317,2824163
10318,2731148
10319,1985795
10320,3442001
10321,3002436
10322,3980267
10323,1786439
10324,2615450
10325,3120236
10326,2382386
10327,1240981
10328,2855796
10329,2652008
10330,3399755
10331,2436833
10332,2756775
10333,3657624
10334,1940364
10335,3414743
10336,3652733
10337,2926334
10338,3289704
10339,2118228
10340,1392071
10341,1077453
10342,2748849
10343,1725864
10344,3596687
10345,3936297
10346,3647358
10347,1373058
10348,1082292
10349,1776958
10350,2879931
10351,1817529
10352,1559241
10353,2052214
10354,2132787
10355,3145234
10356,3364959
10357,1751595
10358,1873938
10359,3469829
10360,1145282
10361,3835718
10362,3957397
10363,2552317
10364,2183127
10365,1168493
10366,2551563
10367,3022979
10368,2826192
10369,2287634
10370,2753054
10371,3708594
10372,1231820
10373,3275344
10374,3429687
10375,1716195
10376,3801644
10377,2226959
10378,2018513
10379,2966684
10380,3657096
10381,2876929
10382,1339411
10383,1380562
10384,1332257
10385,3737386
10386,2018207
10387,2613200
10388,2125313
10389,1821965
10390,2979354
10391,3666568
10392,2854472
10393,2812672
10394,1456401
10395,3880200
10396,2337125
10397,3208187
10398,1273186
10399,3329404
10400,2225426
10401,2614938
10402,3896626
10403,3457473
10404,3690065
10405,3441135
10406,1765033
10407,1362400
10408,3434901
10409,1486717
10410,3312017
10411,1073381
10412,3239279
10413,2808066
10414,1564925
10415,2932500
10416,3355581
10417,3892647
10418,2268775
10419,1438314
10420,1231924
10421,3810052
10422,3973570
10423,3794012
10424,1335320
10425,1956403
10426,1979972
10427,3134765
10428,2046288
10429,2920514
10430,3137150
10431,2753801
10432,1235060
10433,3400735
10434,1604768
10435,2880347
10436,3000091
10437,2699941
10438,1943739
10439,1185052
10440,2953077
10441,3786902
10442,1033536
10443,2130953
10444,1261509
10445,2530993
10446,1192523
10447,2422190
10448,3582799
10449,2090013
10450,1116696
10451,3891575
10452,1600602
10453,2664761
10454,1066363
10455,1912312
10456,1560862
10457,2213129
10458,3988952
10459,2997104
10460,1378256
10461,3094638
10462,3383945
10463,1297693
10464,1886766
10465,1914659
10466,2334867
10467,1710097
10468,3954145
10469,2278850
10470,1070807
10471,2190668
10472,1580483
10473,1915624
10474,1430548
10475,1172310
10476,2895216
10477,3899821
10478,2132706
10479,3514692
10480,1511128
10481,1394862
10482,3322828
10483,2962230
10484,3483602
10485,1591226
10486,2949373
10487,3162711
10488,3171540
10489,2479951
10490,1875484
10491,3497145
10492,3748430
10493,3436325
10494,2213397
10495,3993571
10496,3959700
10497,3490494
10498,3183067
10499,3561217
10500,1532659
10501,3878555
10502,2950845
10503,1827611
10504,2874283
10505,2201823
10506,1912837
10507,1977899
10508,3194523
10509,3257784
10510,1061901
10511,3235590
10512,1314043
10513,2982391
10514,3291330
10515,2548846
10516,3964480
10517,1298952
10518,2110825
10519,3637318
10520,3047876
10521,1232884
10522,3857447
10523,1348147
10524,3416766
10525,2741343
10526,3991472
10527,3122106
10528,2087194
10529,1068459
10530,3699438
10531,3517022
10532,3663132
10533,3612573
10534,3795132
10535,3779645
10536,2765326
10537,1032252
10538,1198382
10539,1567543
10540,2675049
10541,1612004
10542,2659135
10543,3914978
10544,2705375
10545,1023933
10546,3335838
10547,2107034
10548,1775606
10549,3959791
10550,3543818
10551,1004890
10552,1676534
10553,1479619
10554,1178735
10555,1712011
10556,3095477
10557,2149749
10558,2936350
10559,1039308
10560,3617215
10561,2586162
10562,3868886
10563,3042694
10564,1047432
10565,1817827
10566,2061436
10567,2445220
10568,2832818
10569,1569247
10570,1395587
10571,1184409
10572,1736504
10573,3254520
10574,1797575
10575,1125340
10576,2245277
10577,3139868
10578,2629722
10579,1522624
10580,1631722
10581,3116660
10582,1662858
10583,3542603
10584,3534642
10585,1040216
10586,3780271
10587,1273153
10588,2649076
10589,2203084
10590,2350244
10591,2263615
10592,3406939
10593,2303626
10594,2250684
10595,3915474
10596,3377697
10597,1423239
10598,2781910
10599,2580970
10600,3968940
10601,2574588
10602,1099227
10603,2415683
10604,3549841
10605,1946057
10606,1861675
10607,1425415
10608,2527241
10609,1910043
10610,3903696
10611,2565474
10612,1461296
10613,1660597
10614,1895163
10615,2498564
10616,1516756
10617,1128558
10618,1253509
10619,2532713
10620,3182031
10621,2064593
10622,1156317
10623,2215143
10624,2993514
10625,1445316
10626,3044311
10627,1020946
10628,2972692
10629,1028924
10630,1107949
10631,3795803
10632,1860490
10633,2102980
10634,1954783
10635,1581565
10636,1258085
10637,1989783
10638,2645185
10639,3545070
10640,2149048
10641,1898522
10642,1118179
10643,1148195
10644,1897445
10645,1381441
10646,2414792
10647,3279842
10648,2988469
10649,2349004
10650,3786661
10651,1733992
10652,1884186
10653,2611214
10654,3436270
10655,3063436
10656,2479899
10657,3952072
10658,1833006
10659,1940352
10660,3075594
10661,1152636
10662,2891869
10663,3020470
10664,2821522
10665,1306244
10666,2230148
10667,3648523
10668,2050992
10669,1537522
10670,2216519
10671,2206808
10672,1704547
10673,1606126
10674,3401823
10675,2248952
10676,3441542
10677,2096753
10678,2087062
10679,1986449
10680,3521420
10681,1071002
10682,2827794
10683,1663375
10684,3181091
10685,2496288
10686,2424440
10687,1977244
10688,3245947
10689,3542693
10690,1996212
10691,3802625
10692,2373765
10693,2745492
10694,1539122
10695,2020867
10696,2085063
10697,1783579
10698,2314747
10699,2321449
10700,3682792
10701,2791389
10702,2034695
10703,1793825
10704,2043460
10705,1456630
10706,1843537
10707,2931613
10708,3576083
10709,1743703
10710,3442935
10711,1092659
10712,2352532
10713,1531313
10714,2266123
10715,3159794
10716,1772480
10717,3326047
10718,3293602
10719,1243475
10720,2035558
10721,1982088
10722,2534225
10723,2028262
10724,3252132
10725,2316734
10726,2896810
10727,1357340
10728,1355687
10729,3447511
10730,1333559
10731,1117926
10732,3496683
10733,3919572
10734,3100049
10735,3291176
10736,2984861
10737,1204593
10738,1890973
10739,1329534
10740,3959027
10741,3366805
10742,1524346
10743,3140934
10744,1675799
10745,3837731
10746,2509505
10747,3846107
10748,2731275
10749,2715288
10750,3897819
10751,2991704
10752,3300629
10753,1583749
10754,1833224
10755,3594704
10756,1131939
10757,3325425
10758,3083150
10759,2042734
10760,3401039
10761,3304340
10762,2656263
10763,3299774
10764,3736693
10765,2658545
10766,2000406
10767,1769461
10768,3959860
10769,2652767
10770,3945327
10771,3363237
10772,1357588
10773,1062729
10774,1196425
10775,3765291
10776,2841231
10777,3038063
10778,3083391
10779,1831949
10780,1875687
10781,1441807
10782,1336551
10783,1206485
10784,1688604
10785,3665433
10786,2917629
10787,1415996
10788,2163704
10789,2314766
10790,2628559
10791,1506918
10792,3887486
10793,1222650
10794,3230401
10795,1498791
10796,3583471
10797,1558795
10798,3219464
10799,1622384
10800,2893181
10801,2358999
10802,3909461
10803,3532517
10804,2376439
10805,3513558
10806,3161659
10807,1821908
10808,3422970
10809,1759729
10810,1967415
10811,3694791
10812,2856392
10813,3965608
10814,2994234
10815,3791559
10816,3965832
10817,1030117
10818,2245551
10819,1026401
10820,3741114
10821,3650608
10822,1033509
10823,1670120
10824,3774547
10825,2738828
10826,2691459
10827,3658239
10828,1031996
10829,1018974
10830,2321283
10831,3271756
10832,2821505
10833,3551926
10834,1654713
10835,2772587
10836,3694187
10837,3031035
10838,2009635
10839,3144127
10840,2922581
10841,2772834
10842,2476623
10843,2469157
10844,1792764
10845,3774491
10846,3157977
10847,2359726
10848,1130823
10849,3059671
10850,1578035
10851,3695943
10852,1403855
10853,3263530
10854,1863853
10855,1575194
10856,2044802
10857,3944148
10858,3815973
10859,1356939
10860,1919860
10861,1544076
10862,2318106
10863,1055329
10864,1658800
10865,2153311
10866,1269486
10867,2556164
10868,1930382
10869,2165867
10870,3005704
10871,2750021
10872,1337439
10873,1771830
10874,3317860
10875,3752172
10876,1162535
10877,2710292
10878,3857923
10879,1512170
10880,1905667
10881,1738645
10882,3992155
10883,3593862
10884,1595656
10885,2255269
10886,1319746
10887,2167994
10888,3358160
10889,1793612
10890,1013571
10891,3665842
10892,2115226
10893,3639255
10894,3329901
10895,3046597
10896,2145106
10897,3180351
10898,2891195
10899,3338252
10900,1555505
10901,1223519
10902,2416379
10903,2569871
10904,2049841
10905,1722172
10906,3159759
10907,2572506
10908,2528654
10909,2567732
10910,2832334
10911,1302010
10912,2872155
10913,3574915
10914,2622846
10915,3062358
10916,2167008
10917,3753223
10918,1098860
10919,2313901
10920,2275110
10921,1838303
10922,1991598
10923,2460061
10924,1199868
10925,1594292
10926,3046256
10927,2447123
10928,3274374
10929,2205316
10930,2077575
10931,3993775
10932,2105049
10933,1577969
10934,3449372
10935,2520327
10936,2553325
10937,3484122
10938,2169277
10939,3611194
10940,2520242
10941,3621990
10942,3186601
10943,3910545
10944,2555193
10945,1585917
10946,3963091
10947,3489127
10948,2063602
10949,3603547
10950,3522377
10951,2404411
10952,1015605
10953,1022741
10954,1370166
10955,3749893
10956,3647529
10957,1104099
10958,3970245
10959,1118174
10960,2133688
10961,3830400
10962,3919675
10963,3260186
10964,1613551
10965,1202379
10966,1703320
10967,2127234
10968,3503996
10969,3861648
10970,1816335
10971,1174470
10972,2306593
10973,2992342
10974,2411435
10975,3176766
10976,1830955
10977,3247316
10978,3721764
10979,3935108
10980,1216475
10981,2589447
10982,3587056
10983,3054780
10984,1285241
10985,2944050
10986,2644784
10987,2420314
10988,2796227
10989,2804559
10990,1612452
10991,1561072
10992,1767372
10993,3453338
10994,2516010
10995,2126085
10996,3307859
10997,2114612
10998,2054004
10999,3084236
11000,3342616
11001,2035842
11002,2543128
11003,1933329
11004,1283921
11005,3521338
11006,1981278
11007,3500412
11008,3293658
11009,2589296
11010,2293398
11011,3172765
11012,3227861
11013,1423072
11014,3246820
11015,3114270
11016,2287153
11017,2743143
11018,1052610
11019,1945860
11020,2851484
11021,1575346
11022,1570318
11023,2606086
11024,1776876
11025,2732881
11026,2419469
11027,2870297
11028,1745419
11029,3160091
11030,1803914
11031,3154071
11032,2821957
11033,1636476
11034,1445111
11035,1296854
11036,1293779
11037,2820442
11038,3747336
11039,1923843
11040,1825521
11041,1118648
11042,2829028
11043,2608202
11044,1395302
11045,2460405
11046,1854822
11047,1684303
11048,3605491
11049,2443833
11050,2570773
11051,1153336
11052,2729810
11053,2664278
11054,3943644
11055,1603997
11056,1993137
11057,1714549
11058,1868512
11059,2862177
11060,3924920
11061,3974818
11062,1418852
11063,2134591
11064,2499970
11065,2164528
11066,1407640
11067,3017369
11068,1674557
11069,1470081
11070,2093967
11071,2763289
11072,1761343
11073,2049266
11074,2922330
11075,1210853
11076,3336940
11077,3352847
11078,3657102
11079,3950181
11080,1491912
11081,2066333
11082,3029098
11083,2252677
11084,1628763
11085,1747026
11086,3895485
11087,1357437
11088,2987456
11089,2296820
11090,2567140
11091,1672337
11092,3409756
11093,2032795
11094,1629700
11095,3948284
11096,2603164
11097,2147560
11098,3385903
11099,3886924
11100,1028863
11101,3215668
11102,3959950
11103,3925982
11104,2776112
11105,3035310
11106,3524628
11107,2806584
11108,3837911
11109,1234926
11110,1663959
11111,2682351
11112,1557954
11113,1725322
11114,1234484
11115,3223485
11116,2163881
11117,2502336
11118,2881122
11119,2684103
11120,2776880
11121,2010308
11122,3067679
11123,3259176
11124,2838889
11125,3615597
11126,3676621
11127,2691264
11128,1669027
11129,1096023
11130,3022868
11131,3963736
11132,2271254
11133,3931387
11134,1582355
11135,3339547
11136,3396495
11137,2508411
11138,2418198
11139,2231500
11140,1538567
11141,3126367
11142,2669779
11143,3866359
11144,2435478
11145,3309813
11146,1004766
11147,3106289
11148,1644105
11149,1448148
11150,2777538
11151,1052673
11152,1596330
11153,2940726
11154,2789295
11155,3819574
11156,1640266
11157,3856461
11158,3012014
11159,3561674
11160,3176868
11161,2547910
11162,3643524
11163,1858587
11164,1330132
11165,2228769
11166,1542645
11167,2085752
11168,2968833
11169,1882884
11170,1211966
11171,2615367
11172,1828804
11173,1864570
11174,2515024
11175,3390666
11176,2469888
11177,3086358
11178,1550019
11179,3361069
11180,1444118
11181,3116696
11182,1316214
11183,1432740
11184,3365151
11185,1450125
11186,1226139
11187,2655092
11188,1879406
11189,2718044
11190,2594301
11191,1761525
11192,1949281
11193,1367428
11194,2160702
11195,1517568
11196,1080089
11197,3739555
11198,1615083
11199,2973090
11200,3537988
11201,2523279
11202,3203479
11203,3112795
11204,3828142
11205,2030130
11206,1714019
11207,3055302
11208,2057593
11209,3282513
11210,1836308
11211,1228953
11212,2994871
11213,1852083
11214,1319178
11215,3282895
11216,2802483
11217,1438557
11218,3614142
11219,1007778
11220,1794248
11221,3254758
11222,2327878
11223,2634646
11224,3601157
11225,3223506
11226,2138794
11227,3450410
11228,1829067
11229,1781792
11230,3391628
11231,2481487
11232,2603940
11233,2287740
11234,3393702
11235,1514975
11236,1419502
11237,3147925
11238,2552659
11239,1701819
11240,2929629
11241,3493552
11242,1757511
11243,2630736
11244,1116330
11245,3654272
11246,1074733
11247,2631624
11248,3792316
11249,3776071
11250,1576632
11251,1555627
11252,2471063
11253,2899316
11254,1077705
11255,2040868
11256,2759645
11257,2676888
11258,2863444
11259,1915060
11260,1390129
11261,3086988
11262,3367406
11263,1581955
11264,1498222
11265,1138504
11266,1328541
11267,3597692
11268,2171276
11269,3120033
11270,1000244
11271,3647775
11272,1033281
11273,2967892
11274,1198508
11275,2820060
11276,2250789
11277,3640274
11278,1888386
11279,1947737
11280,2765449
11281,2233648
11282,2993434
11283,2234936
11284,1478025
11285,2413225
11286,1381237
11287,2756242
11288,1146773
11289,3584442
11290,3017001
11291,1099428
11292,3137807
11293,2515431
11294,2785341
11295,3368212
11296,2840591
11297,1677934
11298,2096515
11299,1238908
11300,3246871
11301,3775599
11302,3193379
11303,2206552
11304,2722930
11305,1145841
11306,1025804
11307,2753881
11308,2231783
11309,2914171
11310,1048072
11311,2409964
11312,1079263
11313,3841674
11314,1984379
11315,2919404
11316,3326254
11317,2526236
11318,2227713
11319,3719818
11320,2698078
11321,2283477
11322,1196766
11323,2037571
11324,3766964
11325,1450584
11326,1682152
11327,3331302
11328,3792859
11329,3259056
11330,3024523
11331,1571167
11332,1633585
11333,3973804
11334,1714993
11335,2667774
11336,3172441
11337,1768737
11338,3641930
11339,3031974
11340,1507431
11341,2998652
11342,3181408
11343,1023206
11344,1578867
11345,2859832
11346,1451989
11347,2361958
11348,2966833
11349,1269860
11350,2505777
11351,1771545
11352,2145208
11353,3273321
11354,3793375
11355,3658055
11356,1364525
11357,3000031
11358,3203122
11359,1442816
11360,3490438
11361,3029486
11362,3891872
11363,2878997
11364,2655292
11365,3674665
11366,1702761
11367,1754603
11368,3938665
11369,2254577
11370,3767690
11371,1784401
11372,3361667
11373,1921425
11374,2365658
11375,3638107
11376,1411521
11377,1310147
11378,2594510
11379,3582100
11380,2656344
11381,3454502
11382,1579948
11383,1691941
11384,3274202
11385,1117396
11386,1748230
11387,1360877
11388,1392144
11389,1241552
11390,1655075
11391,3386134
11392,2214754
11393,2559786
11394,1811337
11395,1428760
11396,3903557
11397,1770850
11398,3208599
11399,3972975
11400,2125178
11401,3932533
11402,3209503
11403,3060149
11404,1546747
11405,1584509
11406,1212961
11407,2961942
11408,2535483
11409,1884392
11410,1868542
11411,3251798
11412,1920445
11413,3791779
11414,1986174
11415,3103044
11416,3464482
11417,3898933
11418,1139418
11419,1353663
11420,3794977
11421,2968279
11422,1801227
11423,3484862
11424,1838641
11425,1394111
11426,1723834
11427,1915459
11428,3060020
11429,2752050
11430,1967148
11431,1830686
11432,3802372
11433,3399053
11434,3104374
11435,2599712
11436,1485014
11437,2243502
11438,2667802
11439,1040344
11440,2362393
11441,2295892
11442,3383281
11443,2326993
11444,1374717
11445,3562798
11446,3799339
11447,1520728
11448,2431329
11449,3738176
11450,3049285
11451,3143007
11452,2295395
11453,1028930
11454,2155681
11455,2020227
11456,1792043
11457,1126952
11458,2715686
11459,3678287
11460,1419875
11461,1362181
11462,3747132
11463,3769271
11464,3284005
11465,1698563
11466,3311187
11467,3161043
11468,3179712
11469,2893186
11470,1099591
11471,2836877
11472,1608818
11473,2107875
11474,1129085
11475,1613054
11476,2519049
11477,1499710
11478,3138041
11479,3234741
11480,2146513
11481,1942002
11482,2957851
11483,1812761
11484,2591308
11485,1628608
11486,1799024
11487,2045099
11488,1606523
11489,3427053
11490,3167222
11491,2074967
11492,3422963
11493,3948570
11494,1829274
11495,2457350
11496,2973769
11497,2955771
11498,3660345
11499,2982972
11500,2102077
11501,3941722
11502,3063263
11503,3776969
11504,3119267
11505,3735784
11506,1828047
11507,2731253
11508,3216164
11509,3352582
11510,3745784
11511,2649879
11512,3411428
11513,1645028
11514,3902573
11515,1672086
11516,3642882
11517,2841666
11518,3649733
11519,3466824
11520,2760319
11521,3560260
11522,3224606
11523,1894107
11524,3349782
11525,3430320
11526,2272137
11527,3037774
11528,1644853
11529,2736792
11530,1392882
11531,3233898
11532,3075458
11533,2928513
11534,3580877
11535,1343127
11536,2981969
11537,1738929
11538,3577935
11539,3442448
11540,1850048
11541,2905399
11542,3651849
11543,2644283
11544,3219746
11545,3974590
11546,1026292
11547,2370874
11548,2862839
11549,1448558
11550,3702321
11551,1384291
11552,1313976
11553,1674219
11554,3140911
11555,3964934
11556,3010934
11557,1855958
11558,2986714
11559,1659993
11560,1146322
11561,2541141
11562,1065837
11563,1445664
11564,3803059
11565,1705248
11566,2552733
11567,1093463
11568,3859233
11569,2140055
11570,2459025
11571,2157531
11572,1054939
11573,2309889
11574,1400474
11575,2587042
11576,3161740
11577,1086680
11578,2914851
11579,2721452
11580,2096555
11581,2577421
11582,1878405
11583,1544417
11584,1091340
11585,2756187
11586,3662397
11587,3609282
11588,1904670
11589,1231739
11590,3228677
11591,2528692
11592,3178115
11593,1532987
11594,3497204
11595,2271619
11596,2030920
11597,1164758
11598,1512597
11599,2312706
11600,2581182
11601,2597273
11602,1820897
11603,2426886
11604,3290309
11605,3513328
11606,1972253
11607,3288690
11608,1414097
11609,1232273
11610,3707523
11611,2481238
11612,3453352
11613,2815531
11614,1185009
11615,2651679
11616,1970661
11617,3415208
11618,1221065
11619,1696589
11620,3317817
11621,1966029
11622,2577115
11623,1131729
11624,3349993
11625,3835930
11626,3756177
11627,2368802
11628,2598801
11629,1008269
11630,3070309
11631,3736125
11632,3688288
11633,3431286
11634,3301635
11635,3566021
11636,3509685
11637,2130425
11638,2714470
11639,1762527
11640,2681301
11641,1034283
11642,2811331
11643,2412775
11644,3739325
11645,3320269
11646,2673678
11647,1446408
11648,2550167
11649,1389617
11650,3092162
11651,2725602
11652,2273434
11653,1951703
11654,3595027
11655,1520788
11656,2258131
11657,3211138
11658,1949357
11659,1605445
11660,3005865
11661,1259570
11662,3143666
11663,2424446
11664,2909291
11665,2237217
11666,1128324
11667,3879843
11668,2079115
11669,1428692
11670,2245868
11671,3255776
11672,3936801
11673,2122183
11674,3568244
11675,3917611
11676,2639401
11677,2480186
11678,2751991
11679,2395141
11680,1037939
11681,1728827
11682,2756603
11683,2463077
11684,3018469
11685,2617882
11686,3854901
11687,1613946
11688,3260609
11689,1439826
11690,3794858
11691,2269790
11692,3040150
11693,3615179
11694,3872225
11695,1980229
11696,1964984
11697,3055493
11698,1736986
11699,1885328
11700,3993266
11701,3278093
11702,3909929
11703,2161706
11704,1839246
11705,3594768
11706,1950047
11707,3510340
11708,1838452
11709,2298290
11710,3079128
11711,3552109
11712,3340538
11713,2230103
11714,1748113
11715,1287057
11716,3018629
11717,2080125
11718,3774515
11719,3975431
11720,3717658
11721,2194785
11722,3969493
11723,1144490
11724,3699910
11725,2068517
11726,2927730
11727,1259482
11728,1313076
11729,2362437
11730,2405517
11731,1302617
11732,2701148
11733,3406181
11734,1052725
11735,2681485
11736,3120668
11737,1479213
11738,2932528
11739,3516687
11740,3444910
11741,2778785
11742,3841311
11743,1832724
11744,3562779
11745,2938553
11746,2026628
11747,3564387
11748,2652974
11749,3486245
11750,3127714
11751,3872892
11752,3713263
11753,1807121
11754,2600084
11755,1049771
11756,3197870
11757,1299339
11758,1432831
11759,1402356
11760,1977724
11761,3500908
11762,1032452
11763,2280489
11764,3910482
11765,2171187
11766,3578164
11767,3565874
11768,1944461
11769,2688106
11770,2771578
11771,1788150
11772,3225800
11773,1488861
11774,1858993
11775,2288095
11776,1798483
11777,1267427
11778,3236740
11779,2858673
11780,2136559
11781,3226158
11782,3197492
11783,1019422
11784,3551291
11785,3068413
11786,2477932
11787,3461593
11788,3864220
11789,1641816
11790,2266840
11791,3620393
11792,2385260
11793,3229274
11794,2072254
11795,1251549
11796,2079177
11797,1169034
11798,3066690
11799,2348680
11800,3077282
11801,1164839
11802,3419235
11803,1271220
11804,3879536
11805,1160075
11806,1291780
11807,3649661
11808,1224876
11809,3713488
11810,2958931
11811,2640301
11812,2857965
11813,3582715
11814,3578752
11815,3643758
11816,1624776
11817,3441055
11818,3015240
11819,3461844
11820,3994117
11821,3226884
11822,2564809
11823,2673772
11824,2461918
11825,3590730
11826,1158611
11827,1267788
11828,2963223
11829,3343014
11830,1342121
11831,3786637
11832,1651922
11833,2094625
11834,3450079
11835,2236393
11836,2330352
11837,1631109
11838,1727646
11839,1492081
11840,3711003
11841,1195127
11842,3613132
11843,3423738
11844,1296303
11845,1528886
11846,2189010
11847,1690308
11848,2496223
11849,1455464
11850,1276179
11851,3742637
11852,1578749
11853,3609968
11854,2568251
11855,3925304
11856,2653549
11857,3153834
11858,2385395
11859,1193586
11860,1032439
11861,2579944
11862,3079559
11863,1728597
11864,2543045
11865,2914740
11866,2217312
11867,2702063
11868,3591089
11869,1959630
11870,2551570
11871,3129356
11872,2096128
11873,2570267
11874,3103277
11875,3872977
11876,2263256
11877,1490004
11878,1962948
11879,2889384
11880,1129602
11881,1932692
11882,1251182
11883,3576906
11884,1499131
11885,1004834
11886,2821868
11887,2881036
11888,2486667
11889,1904609
11890,3191272
11891,2852699
11892,1587615
11893,1506923
11894,2641858
11895,3169416
11896,3073166
11897,1302395
11898,3321274
11899,3001867
11900,2952837
11901,3835339
11902,1182184
11903,1656413
11904,3243872
11905,1398297
11906,3890373
11907,2341590
11908,1725202
11909,2560371
11910,2545455
11911,2182020
11912,2385841
11913,1240463
11914,1777922
11915,3966289
11916,1122039
11917,2325698
11918,3651021
11919,3429272
11920,3046314
11921,3327483
11922,3516155
11923,3556406
11924,2962386
11925,2701545
11926,3676585
11927,2124940
11928,1378231
11929,2849618
11930,3240855
11931,3396111
11932,2775481
11933,1433482
11934,3398070
11935,1171750
11936,3663665
11937,2433288
11938,1290360
11939,1543559
11940,2909818
11941,2519505
11942,3828412
11943,3103519
11944,2535579
11945,3896157
11946,2869894
11947,1328856
11948,2685947
11949,2824985
11950,3283201
11951,2874484
11952,1450957
11953,3894633
11954,3438328
11955,2469010
11956,1356053
11957,3439224
11958,1845824
11959,2521659
11960,3916927
11961,3512949
11962,1260042
11963,3922026
11964,1464294
11965,1483786
11966,1954319
11967,2587563
11968,3663189
11969,1822052
11970,2960722
11971,2726839
11972,3875684
11973,1391393
11974,1411788
11975,3465484
11976,2686921
11977,3348076
11978,3585997
11979,2374590
11980,2067508
11981,2639369
11982,2619987
11983,1821449
11984,3722931
11985,1634122
11986,3428183
11987,1772401
11988,1216027
11989,2105704
11990,1094617
11991,1774606
11992,2927022
11993,1639157
11994,1329313
11995,1381151
11996,3256474
11997,3842101
11998,1583213
