"name","size","city","state"
"3T INTERNATIONAL INCORPORATED",-556154.95,"VIENNA","VA"
"3T, LLC",24000,"DOUGLAS","WY"
"3VESTA, LLC",1639466.63,"FALLS CHURCH","VA"
"3Z TELECOM, INC.",28189.08,"MIRAMAR","FL"
"4- COUNTY ELECTRIC POWER ASSOCIATION",109160,"COLUMBUS","MS"
"4-SEASONS COUNTING SYSTEMS, INC.",4943.28,"CAIRO","NY"
"4-WEB, INC.",833250,"FRISCO","TX"
"4 A ERA LLC",250986.04,"KENNER","LA"
"4 CLICKS SOLUTIONS LIMITED LIABILITY COMPANY",208329.91,"COLORADO SPRINGS","CO"
"4 CONTROL INC",10000,"MENOMONIE","WI"
"4 CORNERS POWER GENERATOR SERVICE & REPAIR LLC",2090,"FARMINGTON","NM"
"4 D TECHNOLOGY CORPORATION",158550.5,"TUCSON","AZ"
"4 EVERGREEN FORESTRY INC",8050,"TALENT","OR"
"4 G CATTLE COMPANY, LLC",-556569,"RINGLING","OK"
"4 G PLUMBING AND HEATING, INC.",14560,"MISSOULA","MT"
"4 M COMPANY, INC.",4322.49,"SEATTLE","WA"
"4 RIVERS EQUIPMENT, LLC",63438.75,"ALBUQUERQUE","NM"
"4 RIVERS EQUIPMENT, LLC",63438.75,"EL PASO","TX"
"4 RIVERS EQUIPMENT, LLC",63438.75,"FARMINGTON","NM"
"4 SEASONS HEATING & COOLING, LLC",13600,"LIVINGSTON","MT"
"4 STAR ELECTRONICS, INC.",4166,"SAN CLEMENTE","CA"
"4 STAR TECHNOLOGIES, INC.",7610100.47,"VIRGINIA BEACH","VA"
"400 E STREET SW",85.8,"WASHINGTON","DC"
"413768 ALBERTA INC",13373.15,"CALGARY",NA
"425 WATER LLC",4182,"PORTSMOUTH","VA"
"455 HOSPITALITY LLC",5792.1,"TARRYTOWN","NY"
"4800 LEESBURG PIKE ASSOCIATES, L.P.",18396,"ALEXANDRIA","VA"
"4860 GROWTH LLC",4710.87,"FAIRFIELD","OH"
"4917 ADVENTURES LLC",-272.2,"DENVER","CO"
"49ER PRESSURE WASH & WATER SERVICE, INC",43525,"ANGELS CAMP","CA"
"4CLICKS-SOLUTIONS, LLC",15132.95,"COLORADO SPRINGS","CO"
"4D CRM",15500,"DARRINGTON","WA"
"4D TECH SOLUTIONS, INC.",124534,"MORGANTOWN","WV"
"4IMPRINT, INC.",55981.85,"OSHKOSH","WI"
"4K GLOBAL-ACC JV LLC",59714676,"AUGUSTA","GA"
"4K GLOBAL INC.",0,"MARTINEZ","GA"
"4K SOLUTIONS, LLC",153428,"MIDLAND","GA"
"4LIBERTY INC.",73427.6,"CHULA VISTA","CA"
"4LIBERTY INC.",73427.6,"SAN DIEGO","CA"
"4M RESEARCH, INC.",671320,"HUNTSVILLE","AL"
"4MD MEDICAL SOLUTIONS LLC",7965.47,"LAKEWOOD","NJ"
"4MODAL LOGISTICS, LLC",-13200,"PORTLAND","OR"
"4QIMAGING, LLC",10000,"PITTSFORD","NY"
"4S - SILVERSWORD SOFTWARE AND SERVICES, LLC",1898712.84,"BOWIE","MD"
"4STAFF, LLC",20045.2,"WASHINGTON","DC"
"4TELL SOLUTIONS LLC",910000,"PORTLAND","ME"
"4TH AXIS MACHINE AND DESIGN, INC.",6769,"ALBERTVILLE","MN"
"4VETS CONSULTANTS, LLC",12995.47,"FAYETTEVILLE","GA"
"4WEB, INC.",19300,"FRISCO","TX"
"5 SEASONS MECHANICAL LLC",-11008,"PEACHTREE CORNERS","GA"
"5 STAR AWARDS INC",6442.9,"CARY","NC"
"5 STAR CAR RENTAL, INC.",34600,"RAPID CITY","SD"
"5 STAR COLLISION CENTER INC",-249.26,"TUCSON","AZ"
"5 STAR OFFICE FURNITURE, INC.",124870.53,"AVONDALE ESTATES","GA"
"5 STAR PUBLIC RELATIONS, INC.",18020,"LOUISVILLE","KY"
"5 STAR TRANSLATIONS",10010.25,"NORTH AURORA","IL"
"5.11, INC.",55871.81,"MODESTO","CA"
"50 MORGAN HOSPITALITY GROUP LLC",12981.15,"HARTFORD","CT"
"50 STATE LLC",400877.95,"WASHINGTON","DC"
"5000FISH, INC.",32562.95,"HENDERSON","NV"
"5296, INC.",3671.66,"MORENO VALLEY","CA"
"548692 ONTARIO LTD",34164,"KINGSTON",NA
"55 E. ONTARIO STREET, LLC",7733.33,"CHICAGO","IL"
"5520 WISCONSIN, LLC",115969.84,"CHEVY CHASE","MD"
"568SYSTEMS, INC.",8815,"BERLIN","CT"
"56ELEVEN, LLC",-105280,"BURKE","VA"
"580 MILLENNIUM BOULEVARD HOLDINGS, LLC",40798,"BRUNSWICK","GA"
"5DT INC",11600,"IRVINE","CA"
"5S COMPONENTS, INC.",4500,"EAST MC KEESPORT","PA"
"5X TECHNOLOGY, LLC",1052820.54,"SAN DIEGO","CA"
"601 DEER PROCESSORS",7600,"FORT MOTTE","SC"
"615 CHESTNUT MASTER LEASE, LP",13544.07,"PHILADELPHIA","PA"
"6605 E STATE, LLC",10684.78,"FORT WAYNE","IN"
"6FATHOMS CONSULTING, LLC",265000,"AUSTIN","TX"
"6K SYSTEMS, INC.",179904,"RESTON","VA"
"7 OCEAN GROUP INC",231098.76,"EAST ELMHURST","NY"
"7 STAR ENTERPRISE LLC",6266,"LAS VEGAS","NV"
"70 NORTH, LLC",66595,"PRUDHOE BAY","AK"
"700 NORTH KING ST, WILMINGTON, LLC",20576,"WILMINGTON","DE"
"702AV",0,"LAS VEGAS","NV"
"7201 WISCONSIN LLC",16402.5,"NORTH BETHESDA","MD"
"77 DEGREES WEST, LLC",95078.4,"POTOMAC","MD"
"7725 RENO #1, LLC",20833.35,"OKLAHOMA CITY","OK"
"7K SEPTIC PUMPING",34300,"ELLENSBURG","WA"
"8-KOI, INC.",66690.32,"MELBOURNE","FL"
"8 ROSE STREET OPERATIONS LLC",20348.94,"GRAFTON","WV"
"80TH STREET AGGREGATES",-28752.5,"MAYNARD","MN"
"810 BROAD URE MASTER TENANT LLC",23250,"NEWARK","NJ"
"84 LUMBER COMPANY",246.88,"EIGHTY FOUR","PA"
"8520 WESTERN AVE, INC.",74594,"BUENA PARK","CA"
"86 BOBCATS INC",7380.45,"MEDINA","OH"
"88 TACTICAL BUILDING GROUP, LLC",9999,"OMAHA","NE"
"8X8, INC.",31184.51,"SAN JOSE","CA"
"9 KOI MARKETING PTE LTD",21619.28,"SINGAPORE",NA
"900 F STREET ASSOCIATES LLC",41009.32,"WASHINGTON","DC"
"901 D, LLC",575033.44,"AIRMONT","NY"
"908 DEVICES INC.",90980,"BOSTON","MA"
"90METER INC.",798676.04,"COSTA MESA","CA"
"911 OUTFITTERS, LLC",5515,"MUSKOGEE","OK"
"911 RAPID RESPONSE LLC",32860,"ANNVILLE","PA"
"911 REMEDIATION INC",19820,"RICHMOND","CA"
"911 SAFETY EQUIPMENT LLC",219348.54,"NORRISTOWN","PA"
"A'VIANDS, LLC",90000,"SAINT PAUL","MN"
"A'ZAR OF WA, INC",3200,"SEATTLE","WA"
"A-1 ALLOYS, INC.",9912.5,"SAN DIEGO","CA"
"A-1 AUTO REPAIR & TOW SERVICE",6250,"WINNEMUCCA","NV"
"A-1 BACKHOE",21952.1,"PERKINS","OK"
"A-1 COATINGS CO.",25000,"VENTURA","CA"
"A-1 LEASING, INC.",24424.14,"PHOENIX","AZ"
"A-1 PORTAJOHNS",11530,"ANTWERP","NY"
"A-1 PUMPING.COM LLC",14450,"HIGHLAND","UT"
"A-1 QUALITY REDI-MIX, INC.",31500,"SOCORRO","NM"
"A-1 SCALE SERVICE, INC.",9742,"SAN ANTONIO","TX"
"A-1 SOLUTIONS, INC.",68636.14,"HOLLYWOOD","FL"
"A-1 TRAFFIC CONTROL & BARRICADE INC",4400,"SILT","CO"
"A-1 UNIFORM SALES CO., INC.",5954.15,"BRENTWOOD","MD"
"A-1VET LLC",11055.75,"INDIANAPOLIS","IN"
"A-ABILITY MEDICAL EQUIPMENT INC",203873.8,"TAMPA","FL"
"A-ACTION GROUP UTILITIES INC",24900,"OLYMPIA","WA"
"A-AERIAL SERVICE COMPANY, INC.",5966.39,"PERRIS","CA"
"A-AIR COMPANY, INCORPORATED",4368,"SEWICKLEY","PA"
"A-AZTEC RENTS&SELLS",19894,"TORRANCE","CA"
"A-C SPECIALTIES, INC",34700,"NORTH LITTLE ROCK","AR"
"A-C SUPPLY COMPANY",127448,"FORT WORTH","TX"
"A-CABLING, LLC",-1.37,"ALBUQUERQUE","NM"
"A-DEC, INC.",3609017.17,"NEWBERG","OR"
"A-FOUR TRANSPORTATION SERVICES",4200,"ANGELES CITY",NA
"A-G-E CORPORATION",8642,"FORT PIERRE","SD"
"A-JUST MANAGEMENT&CONSULTANCY CO., LTD.",39274,"TAIPEI CITY",NA
"A-L-L EQUIPMENT COMPANY",10676.4,"MOLINE","IL"
"A-L SUPPLY, LLC",422.5,"NASHVILLE","TN"
"A-LINE ACCESSORIES INC.",27580,"MONROE","NY"
"A-LINE STAFFING SOLUTIONS LLC",30815.1,"WARREN","MI"
"A-M NET JAPAN CO., LTD.",203000,"TAITO-KU",NA
"A-OK PORTABLES, LLC",-15048.6,"BYRON","GA"
"A-P-T RESEARCH, INC.",6228681.79,"HUNTSVILLE","AL"
"A-PAK SOLUTIONS",432768.1,"SEABECK","WA"
"A-PRO EXECS, LLC",-1243.37,"CHICAGO","IL"
"A-ROCKET MOVING & DELIVERY, INC.",8000,"HOUSTON","TX"
"A-S MEDICATION SOLUTIONS LLC",-87.93,"LIBERTYVILLE","IL"
"A-SA-MA-DI (SMART) BUSINESS SOLUTIONS LLC",67420.08,"LONE TREE","CO"
"A-SAFE, INC.",19611.1,"ELKRIDGE","MD"
"A-T SOLUTIONS, INC.",6313206.35,"FREDERICKSBURG","VA"
"A-TBC BETHESDA OWNER, LLC",108189.64,"WASHINGTON","DC"
"A-TEAM SOLUTIONS LLC",4233079.08,"FULTON","MD"
"A-TECH CORPORATION",3194625.96,"ALBUQUERQUE","NM"
"A-TECH HYDRAULICS, INC.",258306.32,"BALTIMORE","MD"
"A-TECH SYSTEMS, INC.",1659985.82,"LAUREL","MD"
"A-TEK INC",1261439.82,"MCLEAN","VA"
"A-THRONE CO., INC.",25848,"LONG BEACH","CA"
"A-VET ROOFING & CONSTRUCTION, L.L.C.",303087,"WARNER ROBINS","GA"
"A-VET/MGC II A JOINT VENTURE, LLC",2315217.47,"WARNER ROBINS","GA"
"A-Z DME, LLC",45000,"NASHVILLE","TN"
"A-Z FACTORY SUPPLY",1892.79,"SCHILLER PARK","IL"
"A-Z SOLUTIONS INC",530487.72,"BROOKLYN","NY"
"A-ZONE ENVIRONMENTAL SERVICES, LLC",-23443.45,"CHARLES TOWN","WV"
"A & A AUTO COLLISION CENTER, INC.",2963.68,"OXNARD","CA"
"A & A BOLT & SCREW COMPANY",10022.6,"BALTIMORE","MD"
"A & A CARRIERS INC",-17.5,"GREAT FALLS","MT"
"A & A COMPANY INC",1051634.93,"SOUTH PLAINFIELD","NJ"
"A & A FIRE AND SAFETY COMPANY, LLC",1911,"CABOT","AR"
"A & A FIRE PROTECTION, INC.",1600,"BRUNSWICK","GA"
"A & A LABS LLC",14994,"SAN DIEGO","CA"
"A & A LOGISTICS AND SUPPLIES INC.,",6468.63,"CHICAGO","IL"
"A & A MACHINERY MOVING, INC.",6450,"MORRISVILLE","PA"
"A & A MAINTENANCE CO",11520,"PHENIX CITY","AL"
"A & A PORTABLES INC.",-7585,"MODESTO","CA"
"A & A PORTABLES, INC.",3981,"MODESTO","CA"
"A & A SAFETY, INC.",-12172.62,"AMELIA","OH"
"A & A SEPTIC SERVICES INC",13600,"PARSHALL","CO"
"A & A SHEET METAL PRODUCTS INC",42527.06,"LA PORTE","IN"
"A & A TRANSFER, INC.",202222.6,"CHANTILLY","VA"
"A & B BUSINESS, INC.",1210,"SIOUX FALLS","SD"
"A & B ENVIRONMENTAL SERVICES",23950.68,"HOUSTON","TX"
"A & B MACHINING, INC.",7098,"GRAND HAVEN","MI"
"A & B WELDING & CONSTRUCTION, INC.",5061.24,"ELK RIVER","MN"
"A & C BROTHERS CONTRACTING, INC.",39868.5,"PEEKSKILL","NY"
"A & D ENGINEERING, INC.",76332,"SAN JOSE","CA"
"A & D METAL, INC.",2700,"WESTFIELD","MA"
"A & E ELECTRONICS LLC",22119.27,"CHERRY HILL","NJ"
"A & E ELECTRONICS LLC",22119.27,"VOORHEES","NJ"
"A & E ENTERPRISES OF LOUISIANA, L.L.C.",4851,"ALEXANDRIA","LA"
"A & E EQUIPMENT RENTALS, INC.",56069.88,"HONOLULU","HI"
"A & E LOW VISION AIDS",3556.39,"LIVERMORE","CA"
"A & G PUMPING, INC",11525,"KING CITY","CA"
