Agency,Subagency,accountID,Title,Obligation
US Agencies - Non-CFO Act,Peace Corps,194,Peace Corps,333348229.4
US Agencies - Non-CFO Act,Executive Office of the President,196,Presidential Transition Administrative Support,6077961.17
US Agencies - Non-CFO Act,Executive Office of the President,198,"Salaries and Expenses, The White House",42464610.16
US Agencies - Non-CFO Act,Executive Office of the President,200,"Operating Expenses, Official Residence of the Vice President",124312.28
US Agencies - Non-CFO Act,Executive Office of the President,201,"Salaries and Expenses, Office of Management and Budget",71187618.77
US Agencies - Non-CFO Act,Executive Office of the President,202,"Salaries and Expenses, Office of the United States Trade Representative",42549392.53
US Agencies - Non-CFO Act,African Development Foundation,203,African Development Foundation,19660653.65
US Agencies - Non-CFO Act,Trade and Development Agency,204,Trade and Development Agency,38984193.53
US Agencies - Non-CFO Act,Other International Assistance Programs,206,Contribution to the North American Development Bank,0
Department of State,Other,207,International Narcotics Control and Law Enforcement,553495801.1
US Agencies - Non-CFO Act,Other International Assistance Programs,208,Peacekeeping Operations,231910753.3
US Agencies - Non-CFO Act,Other International Assistance Programs,209,Contribution to the International Fund for Agricultural Development,18318861
US Agencies - Non-CFO Act,Other International Assistance Programs,211,Global Security Contingency Fund,1754657.26
US Agencies - Non-CFO Act,Other International Assistance Programs,212,International Affairs Technical Assistance,38498887.16
US Agencies - Non-CFO Act,Federal Drug Control Programs,213,High Intensity Drug Trafficking Areas Program,224846392.3
US Agencies - Non-CFO Act,Other International Assistance Programs,214,Nonproliferation and Disarmament Fund,0
US Agencies - Non-CFO Act,Other International Assistance Programs,216,"Non-Proliferation, Anti-Terrorism, Demining and Related Programs",367221140.3
US Agencies - Non-CFO Act,Other International Assistance Programs,217,International Military Education and Training,64264261.73
US Agencies - Non-CFO Act,Other International Assistance Programs,218,Foreign Military Financing Program,40848.23
US Agencies - Non-CFO Act,Other International Assistance Programs,219,Pakistan Counterinsurgency Capability Fund,0
US Agencies - Non-CFO Act,Executive Office of the President,225,Council on Environmental Quality and Office of Environmental Quality,1791528.71
US Agencies - Non-CFO Act,Executive Office of the President,226,"Salaries and Expenses, Special Assistance to the President",3137437.15
US Agencies - Non-CFO Act,Executive Office of the President,227,"Salaries and Expenses, Office of National Drug Control Policy",14595729.18
US Agencies - Non-CFO Act,Federal Drug Control Programs,228,Other Federal Drug Control Programs,20015421.91
US Agencies - Non-CFO Act,Federal Drug Control Programs,229,"Counterdrug Technology Assessment Center, Office of National Drug Control Policy",0
US Agencies - Non-CFO Act,Other International Assistance Programs,230,Global Agriculture and Food Security Program,31978043
US Agencies - Non-CFO Act,Executive Office of the President,231,"General Fund Payment to the Trade Enforcement Trust Fund, Office of the U.S. Trade and Respresentative",0
US Agencies - Non-CFO Act,Executive Office of the President,232,"Salaries and Expenses, Council of Economic Advisers",2247408.3
US Agencies - Non-CFO Act,Executive Office of the President,233,"Salaries and Expenses, National Security Council",9562693.16
US Agencies - Non-CFO Act,Executive Office of the President,234,Office of Science and Technology Policy,3144813.55
US Agencies - Non-CFO Act,Other International Assistance Programs,235,Inter-American Foundation,19805798.71
US Agencies - Non-CFO Act,Executive Office of the President,236,"Office of Environmental Quality Management Fund, Council on Environmental Quality and Office of Environmental Quality",24729.57
US Agencies - Non-CFO Act,Other International Assistance Programs,237,Special Defense Acquisition Fund,48534649.58
US Agencies - Non-CFO Act,Other International Assistance Programs,238,Foreign Military Loan Liquidating Account,0
US Agencies - Non-CFO Act,Peace Corps,241,"Host Country Resident Contractors Separation Liability Fund, Peace Corps",0
US Agencies - Non-CFO Act,Executive Office of the President,242,Spectrum Relocation Fund,20453000
US Agencies - Non-CFO Act,African Development Foundation,252,Gifts and Donations,1638199.23
US Agencies - Non-CFO Act,Executive Office of the President,253,"Gifts and Donations, The White House Conference on Drug Abuse and Control",2400
US Agencies - Non-CFO Act,Other International Assistance Programs,255,"Advances, Foreign Military Sales",12198709973
US Agencies - Non-CFO Act,Other International Assistance Programs,256,"Gifts, Donations and Contributions, Inter-American Foundation",13281.61
US Agencies - Non-CFO Act,Peace Corps,257,"Gifts and Contributions, Peace Corps",2084166.11
US Agencies - Non-CFO Act,Peace Corps,258,"Advances from Foreign Governments, Peace Corps",16189.92
US Agencies - Non-CFO Act,Peace Corps,259,"Foreign Service National Separation Liability Trust Fund, Peace Corps",0
Department of Agriculture,Office of Chief Information Officer,263,Expenses,39361969.34
Department of Agriculture,Office of Chief Financial Officer,264,Expenses,4364581.62
Department of Agriculture,Office of the Secretary,266,Homeland Security Staff,16354.65
Department of Agriculture,Executive Operations,267,"Expenses, Common Computing Environment",0
Department of Agriculture,Office of the Secretary,268,"Production, Processing and Marketing",78221810.87
Department of Agriculture,Buildings and Facilities,269,Agriculture Buildings and Facilities,51362361.17
Department of Agriculture,Office of the Secretary,270,Departmental Administration,4836.21
Department of Agriculture,Office of the Secretary,271,Office of the Assistant Secretary for Administration,9938.26
Department of Agriculture,Office of the Secretary,272,Office of the Assistant Secretary for Governmental and Public Affairs,0
Department of Agriculture,Executive Operations,273,Office of the Chief Economist,9183478.38
Department of Agriculture,Office of the Secretary,274,"Office of the Under Secretary for Research, Education and Economics",2644286.13
Department of Agriculture,Office of the Secretary,275,"Office of the Under Secretary for Marketing and Regulatory Programs, Cooperative State Research, Education, and Extension Service",697455.56
Department of Agriculture,Office of the Secretary,276,Office of the Under Secretary for Farm and Foreign Agricultural Services,639655
Department of Agriculture,Office of the Secretary,277,Office of the Under Secretary for Rural Development,1237348.21
Department of Agriculture,Office of the Secretary,278,Office of the Assistant Secretary for Natural Resources and Environment,774880.97
Department of Agriculture,Office of the Secretary,279,"Office of the Under Secretary for Food, Nutrition and Consumer Services",576389.61
Department of Agriculture,Office of the Secretary,280,Office of the Assistant Secretary for Civil Rights,532267.59
Department of Agriculture,Office of the Secretary,281,Office of Tribal Relations,0
Department of Agriculture,Office of the Secretary,282,Office of Advocacy and Outreach,41.89
Department of Agriculture,Office of the General Counsel,284,Office of Ethics,2487043.99
Department of Agriculture,Rural Housing Service,285,Rental Assistance Program,864184432
Department of Agriculture,Office of the Secretary,286,Office of Communications,0
Department of Agriculture,Farm Service Agency,288,Emergency Forest Restoration Program,1968523.67
Department of Agriculture,Agricultural Marketing Service,289,"Payment to Expenses and Refunds, Inspection and Grading of Farm Products",2250000
Department of Agriculture,Rural Development,292,Salaries and Expenses,512495317.6
Department of Agriculture,Hazardous Materials Management,294,Hazardous Materials Management,4224278.81
Department of Agriculture,National Institute of Food and Agriculture,295,Extension Activities,98101066.58
Department of Agriculture,Executive Operations,296,Office of Budget and Program Analysis,6570283.63
Department of Agriculture,Farm Service Agency,297,Salaries and Expenses,1076206020
Department of Agriculture,Office of the Secretary,298,Outreach for Socially Disadvantaged Farmers,3147491.13
Department of Agriculture,Executive Operations,299,Office of Hearings and Appeals Division,9637247.89
Department of Agriculture,Office of Inspector General,300,Office of Inspector General - Recovery Act,0
Department of Agriculture,Office of Inspector General,301,Office of the Inspector General,71739389.46
Department of Agriculture,Natural Resources Conservation Service,302,Conservation Operations,506146690.7
Department of Agriculture,Natural Resources Conservation Service,303,Watershed Rehabilitation Program,4232035.11
Department of Agriculture,National Institute of Food and Agriculture,304,Biomass Research and Development,307843.92
Department of Agriculture,Natural Resources Conservation Service,305,Farm Security and Rural Investment Programs,2215662858
Department of Agriculture,Natural Resources Conservation Service,306,Resource Conservation and Development,0
Department of Agriculture,Natural Resources Conservation Service,308,Watershed and Flood Prevention Operations,106989076
Department of Agriculture,Natural Resources Conservation Service,309,Wetlands Reserve Program,0
Department of Agriculture,Natural Resources Conservation Service,310,Healthy Forests Reserve Program,0
Department of Agriculture,Forest Service,311,Capital Improvement and Maintenance,278499815.9
Department of Agriculture,Forest Service,312,Forest and Rangeland Research,250601979.5
Department of Agriculture,Forest Service,313,State and Private Forestry,163594959.8
Department of Agriculture,Forest Service,314,National Forest System,1232816659
Department of Agriculture,Forest Service,315,Wildland Fire Management,2065219070
Department of Agriculture,Forest Service,316,"Payments to States, Northern Spotted Owl Guarantee",0
Department of Agriculture,Forest Service,317,Management of National Forest Lands for Subsistence Uses,1869707.52
Department of Agriculture,Forest Service,318,Flame Wildfire Suppression Reserve Fund,0
Department of Agriculture,Farm Service Agency,319,Agricultural Credit Insurance Fund Program Account,374926400.4
Department of Agriculture,Farm Service Agency,321,Discrimination Claims Settlement,0
Department of Agriculture,Rural Utilities Service,322,Rural Electrification and Telecommunications Loans Program Account,35664569.8
Department of Agriculture,Rural Utilities Service,323,Rural Telephone Bank Program Account,0
Department of Agriculture,Rural Utilities Service,324,"Distance Learning, Telemedicine and Broadband Program",15671383.2
Department of Agriculture,Farm Service Agency,325,Commodity Credit Corporation Export Loans Program Account,18961182.08
Department of Agriculture,Agricultural Research Service,326,Salaries and Expenses,824745591
Department of Agriculture,Agricultural Research Service,327,Buildings and Facilities,2865483.27
Department of Agriculture,Foreign Agricultural Service,328,"Scientific Activities Overseas, Foreign Currency Program",0
Department of Agriculture,National Institute of Food and Agriculture,331,Research and Education Activities,417757562.7
Department of Agriculture,National Institute of Food and Agriculture,332,Buildings and Facilities,7363.47
Department of Agriculture,National Institute of Food and Agriculture,333,Integrated Activities,32956249.93
Department of Agriculture,Animal and Plant Health Inspection Service,334,Salaries and Expenses,810221604.7
Department of Agriculture,Animal and Plant Health Inspection Service,335,Buildings and Facilities,482894.05
Department of Agriculture,Economic Research Service,336,Economic Research Service,61050980.79
Department of Agriculture,National Agricultural Statistics Service,337,National Agricultural Statistics Service,150869743.6
Department of Agriculture,Rural Business_Cooperative Service,338,Rural Cooperative Development Grants,3984046.59
Department of Agriculture,Rural Business_Cooperative Service,339,Rural Business and Industry Loans Program Account,38380889.33
Department of Agriculture,Rural Business_Cooperative Service,340,Rural Business Investment Program Account,0
Department of Agriculture,Rural Business_Cooperative Service,341,Renewable Energy Program,28140714.51
Department of Agriculture,Rural Housing Service,342,Community Facility Loans Program Account,10046859.43
Department of Agriculture,Rural Housing Service,343,"Expenses, Rural Housing Assistance Grants",20672689.17
Department of Agriculture,Rural Business_Cooperative Service,345,Rural Microenterprise Investment Program Account,1384575
Department of Agriculture,Rural Utilities Service,346,Rural Water and Waste Disposal Loans Program Account,313199456.4
Department of Agriculture,Rural Housing Service,347,Rural Rental Assistance Payments,27764016.98
Department of Agriculture,Rural Housing Service,348,Mutual and Self-Help Housing Grants,18901823.62
Department of Agriculture,Rural Utilities Service,349,High Energy Cost Grants,14539101
Department of Agriculture,Rural Business_Cooperative Service,351,Intermediary Relending Program Fund Account,6390806.97
Department of Agriculture,Rural Business_Cooperative Service,352,Energy Assistance Payments,10441467.8
Department of Agriculture,Rural Housing Service,353,Rural Housing Insurance Fund Program Account,469773333.8
Department of Agriculture,Natural Resources Conservation Service,354,Great Plains Conservation Program,0
Department of Agriculture,Foreign Agricultural Service,357,Public Law 480 Title I Direct Credit and Food for Progress Program Account,0
Department of Agriculture,Foreign Agricultural Service,358,Public Law 480 Title II Grants,733335960.3
Department of Agriculture,Foreign Agricultural Service,359,Ameri Flora '92 Exposition,0
Department of Agriculture,Office of the General Counsel,360,Office of the General Counsel,34708637.88
Department of Agriculture,"Grain Inspection, Packers and Stockyards Administration",361,Salaries and Expenses,31750627.14
Department of Agriculture,Agricultural Marketing Service,362,Marketing Services,141744615
Department of Agriculture,Agricultural Marketing Service,363,Payments to States and Possessions,3800831.72
Department of Agriculture,Risk Management Agency,365,"Administrative and Operating Expenses, Office of Risk Management",60668236.19
Department of Agriculture,Foreign Agricultural Service,366,Salaries and Expenses,206045741.7
Department of Agriculture,Foreign Agricultural Service,367,McGovern-Dole International Food for Education and Child Nutrition Program,11263451.71
Department of Agriculture,Rural Business_Cooperative Service,368,Rural Economic Development Grants,5946188.4
Department of Agriculture,Rural Business_Cooperative Service,369,Biorefinery Assistance Program Account,2240700
Department of Agriculture,Rural Business_Cooperative Service,370,Rural Economic Development Loans Program Account,1770861.89
Department of Agriculture,Farm Service Agency,374,Grassroots Source Water Protection Program,1240516
Department of Agriculture,Farm Service Agency,375,Reforestation Pilot Program,0
Department of Agriculture,Natural Resources Conservation Service,379,Colorado River Basin Salinity Control Program,0
Department of Agriculture,Natural Resources Conservation Service,381,Water Bank Program,10132.15
Department of Agriculture,Natural Resources Conservation Service,382,Wildlife Habitat Incentives Program,0
Department of Agriculture,Natural Resources Conservation Service,383,Forestry Incentives Program,0
Department of Agriculture,Food and Nutrition Service,384,Food Stamp Program,52847766752
Department of Agriculture,Food and Nutrition Service,385,Commodity Assistance Program,253313467.9
Department of Agriculture,Food and Nutrition Service,386,Nutrition Programs Administration,99725214.22
Department of Agriculture,Food and Nutrition Service,387,"Special Supplemental Nutrition Program for Women, Infants and Children (WIC)",5563819022
Department of Agriculture,Food and Nutrition Service,388,Child Nutrition Programs,18048351628
Department of Agriculture,Food and Nutrition Service,389,Supplemental Nutrition Assistance Program - Recovery Act,0
Department of Agriculture,Food Safety and Inspection Service,391,Food Safety and Inspection Service,948443154.4
Department of Agriculture,Office of the Secretary,392,Office of the Under Secretary for Food Safety,490218.16
Department of Agriculture,Office of Civil Rights,393,Office of Civil Rights,22726008.09
Department of Agriculture,"Grain Inspection, Packers and Stockyards Administration",394,Inspection and Weighing Services,40123871.97
Department of Agriculture,Risk Management Agency,395,Federal Crop Insurance Corporation Fund,6095187811
Department of Agriculture,Farm Service Agency,396,"Agricultural Credit Insurance Fund, Liquidating Account",909156.32
Department of Agriculture,Rural Housing Service,397,"Rural Housing Insurance Fund, Liquidating Account",26231499.73
Department of Agriculture,Rural Business_Cooperative Service,399,Alternative Agricultural Research and Commercialization Revolving Fund,0
Department of Agriculture,Rural Utilities Service,400,"Rural Development Insurance Fund, Liquidating Account",0
Department of Agriculture,Rural Utilities Service,402,"Rural Electrification and Telephone Revolving Fund, Liquidating Account",967914455.1
Department of Agriculture,Rural Business_Cooperative Service,403,"Rural Development Loan Fund, Liquidating Account",0
Department of Agriculture,Farm Service Agency,404,Commodity Credit Corporation Fund,0
Department of Agriculture,Natural Resources Conservation Service,406,Damage Assessment and Restoration Revolving Fund,21.84
Department of Agriculture,Forest Service,407,Working Capital Fund,180542862.9
Department of Agriculture,Executive Operations,408,Working Capital Fund,681375482.1
Department of Agriculture,Forest Service,409,Land Acquisition,12482739.48
Department of Agriculture,Agricultural Marketing Service,410,Perishable Agricultural Commodities Act Fund,7950481.75
Department of Agriculture,Animal and Plant Health Inspection Service,411,Agricultural Quarantine Inspection User Fee Account,169592104.7
Department of Agriculture,Forest Service,412,"Payments to States, National Forests Fund",69569812.22
Department of Agriculture,Forest Service,413,"Timber Roads, Purchaser Elections",76649.82
Department of Agriculture,Forest Service,414,"Roads and Trails for States, National Forests Fund",183.15
Department of Agriculture,Forest Service,415,Timber Salvage Sales,33231291.42
Department of Agriculture,National Institute of Food and Agriculture,416,Native American Institutions Endowment Fund,1207279.63
Department of Agriculture,Forest Service,417,"Expenses, Brush Disposal",17561072.65
Department of Agriculture,Forest Service,418,Range Betterment Fund,563014.33
Department of Agriculture,Forest Service,419,"Acquisition of Lands for National Forests, Special Acts",0
Department of Agriculture,Agricultural Marketing Service,420,Funds for Strengthening Markets,580233000.3
Department of Agriculture,Forest Service,421,"Payment to Minnesota (Cook, Lake, and Saint Louis Counties) from the National Forests Fund",5725650
Department of Agriculture,Forest Service,422,Licensee Programs,131281.15
Department of Agriculture,Forest Service,423,Restoration of Forest Lands and Improvements,47910817.53
Department of Agriculture,Forest Service,424,Acquisition of Lands to Complete Land Exchanges,3112468.63
Department of Agriculture,Forest Service,425,Operation and Maintenance of Quarters,5418499.03
Department of Agriculture,Forest Service,426,Resource Management Timber Receipts,0
Department of Agriculture,Forest Service,427,Quinault Special Management Area,0
Department of Agriculture,Forest Service,428,Timber Sales Pipeline Restoration Fund,8728256.07
Department of Agriculture,Forest Service,429,Recreation Fee Demonstration Program,47183712.19
Department of Agriculture,Forest Service,430,MNP Rental Fee Account,723463.89
Department of Agriculture,Forest Service,431,Midewin National Tallgrass Prairie Restoration Fund,0
Department of Agriculture,Agricultural Research Service,432,Concessions Fees and Volunteer Services,21208.25
Department of Agriculture,Forest Service,435,Land Between the Lakes Management Fund,3695374.66
Department of Agriculture,Forest Service,436,Administration of Rights-of-Way and Other Land Uses Fund,4494239.77
Department of Agriculture,Forest Service,437,Valles Caldera Fund,0
Department of Agriculture,Forest Service,438,State and Private Forestry,34818461.82
Department of Agriculture,Office of Inspector General,439,Inspector General Assets Forfeiture,993392.1
Department of Agriculture,Office of Inspector General,440,Inspector General Assets Forfeiture,654516.21
Department of Agriculture,Forest Service,441,Hardwood Technology Transfer and Applied Research Fund,0
Department of Agriculture,Farm Service Agency,442,Agricultural Disaster Relief Trust Fund,534123.39
Department of Agriculture,Forest Service,443,Stewardship Contracting Product Sales,8677503.53
Department of Agriculture,Farm Service Agency,446,Pima Agriculture Cotton Trust Fund,14771500
Department of Agriculture,Farm Service Agency,447,Agriculture Wool Apparel Manufacturers Trust Fund,26448206.72
Department of Agriculture,Forest Service,448,"Payments to Counties, National Grasslands",13640510.76
Department of Agriculture,Agricultural Marketing Service,468,"Expenses and Refunds, Inspection and Grading of Farm Products",125090237.6
Department of Agriculture,Forest Service,469,Cooperative Work,90169610.93
Department of Agriculture,Forest Service,470,Donations for Forest and Rangeland Research,0
Department of Agriculture,Forest Service,471,Land Between the Lakes Trust Fund,123250
Department of Agriculture,Forest Service,472,Reforestation Trust Fund,22283546.46
Department of Agriculture,Agricultural Marketing Service,473,"Wool Research, Development and Promotion Trust Fund",2094750
Department of Agriculture,Food Safety and Inspection Service,474,"Expenses and Refunds, Inspection of Farm Products",8581167.59
Department of Agriculture,Office of the Secretary,476,Gifts and Bequests,283112.34
Department of Agriculture,Natural Resources Conservation Service,477,Miscellaneous Contributed Funds,0
Department of Agriculture,Agricultural Research Service,478,Miscellaneous Contributed Funds,16500940.25
Department of Agriculture,National Agricultural Statistics Service,479,Miscellaneous Contributed Funds,0
Department of Agriculture,Animal and Plant Health Inspection Service,480,Miscellaneous Contributed Funds,6125031.11
Department of Agriculture,Economic Research Service,481,Miscellaneous Contributed Funds,0
Department of Agriculture,Foreign Agricultural Service,482,Miscellaneous Contributed Funds,0
Department of Agriculture,Foreign Agricultural Service,484,Foreign Service National Separation Liability Trust Fund,12480527.97
Department of Agriculture,Animal and Plant Health Inspection Service,485,Foreign Service National Separation Liability Trust Fund,870206.84
Department of Commerce,Departmental Management,486,Office of Inspector General - Recovery Act,273808.49
Department of Commerce,Departmental Management,487,Salaries and Expenses,111632042.2
Department of Commerce,Departmental Management,488,Renovation and Modernization,2225698.09
Department of Commerce,Economic Development Administration,490,Salaries and Expenses,31061908.63
Department of Commerce,Departmental Management,491,Office of Inspector General,29604867.65
Department of Commerce,Minority Business Development Agency,492,Minority Business Development,15173887.27
Department of Commerce,Bureau of Industry and Security,493,Operations and Administration,76649154.17
Department of Commerce,Bureau of the Census,494,Current Surveys and Programs,204747865.5
Department of Commerce,Bureau of the Census,495,Periodic Censuses and Programs,765342181.9
Department of Commerce,National Institute of Standards and Technology,496,Scientific and Technical Research and Services,442677455.8
Department of Commerce,National Institute of Standards and Technology,497,Wireless Innovation(WIN) Fund,44484466.24
Department of Commerce,National Institute of Standards and Technology,498,Construction of Research Facilities,41959392.29
Department of Commerce,National Telecommunications and Information Administration,499,State and Local Implementation Fund,1613178.08
Department of Commerce,National Institute of Standards and Technology,500,Industrial Technology Services,84021112.66
Department of Commerce,National Institute of Standards and Technology,501,Scientific and Technical Research and Services - Recovery Act,0
Department of Commerce,National Telecommunications and Information Administration,502,Salaries and Expenses,55431604.5
Department of Commerce,National Telecommunications and Information Administration,503,"Public Telecommunications Facilities, Planning and Construction",32663.51
Department of Commerce,National Telecommunications and Information Administration,504,Information Infrastructure Grants,0
Department of Commerce,National Telecommunications and Information Administration,505,Broadband Technology Opportunities Program - Recovery Act,0
Department of Commerce,U.S. Patent and Trademark Office,506,Salaries and Expenses,2498093002
Department of Commerce,International Trade Administration,508,Operations and Administration,346033769.8
Department of Commerce,National Oceanic and Atmospheric Administration,509,"Operations, Research and Facilities",2227822541
Department of Commerce,National Oceanic and Atmospheric Administration,510,"Expenses, Pacific Coastal Salmon Recovery",408351.7
Department of Commerce,National Oceanic and Atmospheric Administration,511,"Gulf Coast Ecosystem Restoration Science, Observation, Monitoring and Technology",4197321.98
Department of Commerce,National Oceanic and Atmospheric Administration,512,Fisheries Finance Program Account,0
Department of Commerce,National Oceanic and Atmospheric Administration,513,"Procurement, Acquisition and Construction",1482174928
Department of Commerce,National Oceanic and Atmospheric Administration,514,Coastal Impact Assistance,0
Department of Commerce,National Oceanic and Atmospheric Administration,515,NOAA Accrual Contribution to the Uniformed Services Retiree Health,1365012
Department of Commerce,Bureau of Economic Analysis,516,"Salaries and Expenses, Economic and Statistical Analysis",82512246.17
Department of Commerce,Economic Development Administration,517,Economic Development Assistance Programs,96123363.94
Department of Commerce,National Oceanic and Atmospheric Administration,518,Fisheries Disaster Assistance,0
Department of Commerce,National Technical Information Service,519,NTIS Revolving Fund,127435408
Department of Commerce,National Oceanic and Atmospheric Administration,520,Coastal Zone Management Fund,0
Department of Commerce,National Oceanic and Atmospheric Administration,521,Damage Assessment and Restoration Revolving Fund,20639743.41
Department of Commerce,Bureau of Economic Analysis,522,"Economics and Statistics Administration Revolving Fund, Economic and Statistical Analysis",1242053.97
Department of Commerce,National Telecommunications and Information Administration,523,Network Construction Fund,1046835213
Department of Commerce,Economic Development Administration,524,"Economic Development Revolving Fund, Liquidating Account",0
Department of Commerce,National Oceanic and Atmospheric Administration,525,"Federal Ship Financing Fund, Fishing Vessels, Liquidating Account",0
Department of Commerce,Departmental Management,527,Working Capital Fund,145032501.5
Department of Commerce,Bureau of the Census,528,Census Working Capital Fund,610064053.1
Department of Commerce,National Institute of Standards and Technology,530,Working Capital Fund,84551007.56
Department of Commerce,National Oceanic and Atmospheric Administration,531,Fishermen's Contingency Fund,19640.49
Department of Commerce,National Oceanic and Atmospheric Administration,532,Foreign Fishing Observer Fund,0
Department of Commerce,National Oceanic and Atmospheric Administration,533,Promote and Develop Fishery Products and Research Pertaining to American Fisheries,1004830.18
Department of Commerce,National Oceanic and Atmospheric Administration,534,Marine Mammal Unusual Mortality Event Fund,0
Department of Commerce,National Oceanic and Atmospheric Administration,535,Limited Access System Administration Fund,4353466.91
Department of Commerce,National Oceanic and Atmospheric Administration,537,Environmental Improvement and Restoration Fund,0
Department of Commerce,National Telecommunications and Information Administration,538,Digital Television Transition and Public Safety Fund,0
Department of Commerce,National Oceanic and Atmospheric Administration,539,Western Pacific Sustainable Fisheries Fund,268250
Department of Commerce,International Trade Administration,540,Grants to Manufacturers of Worsted Wool Fabrics,0
Department of Commerce,National Oceanic and Atmospheric Administration,541,Fisheries Enforcement Asset Forfeiture Fund,3754046.04
Department of Commerce,National Oceanic and Atmospheric Administration,542,Sanctuaries Enforcement Asset Forfeiture Fund,0
Department of Commerce,National Oceanic and Atmospheric Administration,543,North Pacific Fishery Observer Fund,3159389.07
Department of Commerce,National Telecommunications and Information Administration,557,Public Safety Trust Fund,30041467.24
Department of Commerce,Departmental Management,558,Gifts and Bequests,3689191.81
Department of the Interior,Office of Inspector General,560,Salaries and Expenses-Recovery Act,0
Department of the Interior,Departmental Offices,561,"Departmental Operations, Office of the Secretary",197779720.1
Department of the Interior,Office of Inspector General,562,Salaries and Expenses,39980091.91
Department of the Interior,Office of the Solicitor,564,Salaries and Expenses,58395902.42
Department of the Interior,National Indian Gaming Commission,565,Salaries and Expenses,0
Department of the Interior,Office of the Special Trustee for American Indians,566,Federal Trust Programs,98828084.51
Department of the Interior,Insular Affairs,568,Assistance to Territories,46846942.07
Department of the Interior,Insular Affairs,569,Trust Territory of the Pacific Islands,0
Department of the Interior,Insular Affairs,570,Compact of Free Association,217429990.9
Department of the Interior,Insular Affairs,571,"Micronesian Claims Fund, Trust Territory of the Pacific Islands",0
Department of the Interior,Insular Affairs,572,"Payment to the United States Territories, Fiscal Assistance",26090005
Department of the Interior,Bureau of Reclamation,573,"Loan Program, Liquidating Account",0
Department of the Interior,Bureau of Reclamation,574,Water and Related Resources,688738536.4
Department of the Interior,Bureau of Reclamation,575,Water and Related Resources - Recovery Act,0
Department of the Interior,Bureau of Reclamation,577,Bureau of Reclamation Loans Program Account,0
Department of the Interior,Bureau of Reclamation,578,California Bay-Delta Restoration,18268906.8
Department of the Interior,Central Utah Project,579,Central Utah Project Completion Account,8192674.09
Department of the Interior,United States Geological Survey,580,"Surveys, Investigations and Research",1121656475
Department of the Interior,Bureau of Mines,581,Mines and Minerals,0
Department of the Interior,National Park Service,582,Urban Park and Recreation Fund,0
Department of the Interior,National Park Service,583,Contribution for Annuity Benefits,26117331.81
Department of the Interior,National Park Service,584,Operation of the National Park System,1570349042
Department of the Interior,National Park Service,585,Construction,132437958.6
Department of the Interior,National Park Service,586,National Recreation and Preservation,27748505.57
Department of the Interior,National Park Service,587,Historic Preservation Fund,708.16
Department of the Interior,Bureau of Land Management,590,Management of Lands and Resources,756115843.1
Department of the Interior,Bureau of Land Management,591,Construction,314150.39
Department of the Interior,Department-Wide Programs,592,Payments in Lieu of Taxes,463266106
Department of the Interior,Bureau of Land Management,593,Oregon and California Grant Lands,71064280.55
Department of the Interior,Bureau of Land Management,595,"Cook Inlet Region, Incorporated Property Account",0
Department of the Interior,Department-Wide Programs,598,Central Hazardous Materials Fund,9662975.43
Department of the Interior,Department-Wide Programs,599,Wildland Fire Management,541004537.9
