ASPRequiredOptionalDerived,BusinessLine,DataElementLabel,Definition,Definition,ElementNumber,ElementOrder,ExampleValue,FAADS+ElementNumber,FPDSDefinition,FPDSElementLabel,FPDSElementNumber,FSRSElementName,Grouping,Instructions,MaxFieldLength,RequiredOptional,SAMElementName(ReferenceSAMDataDictionaryv7),Unnamed:12,Unnamed:13,ValidDataType,ValidationRules,file,DataCategory
,,ByDirectReimbursableFundingSource,Report date,Holds an attribute flag which specifies that the funding source of the associated data value is either a Direct or Reimbursable Funding Source.,50(A),15,R,,,,,,,"Provide abbreviated code label, meaning 'R' for 'ReimbursableFundingSource' or 'D' for 'DirectFundingSource'.",1,Conditional per Validation Rule,,,,string,B12,File C - Award Financial,Account Level Information
,,TransactionObligatedAmount,Effective Date,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below. 

Obligation means a binding agreement that will result in outlays, immediately or in the future. Budgetary resources must be available before obligations can be incurred legally.",53(B),16,3500,,,,,,,"Includes each individual obligation transaction amount, broken out by each unique combination of TAS, object class, program activity (optional), and award. Include current fiscal year activity per award for the following SGLs: 4801, 4802, 4831, 4832, 4871, 4872, 4881, 4882, 4901, 4902, 4908, 4971, 4972, 4981, 4982.",21,Conditional per Validation Rule,,,,numeric,C17,File C - Award Financial,Account Level Information
,,USSGL480100_UndeliveredOrdersObligationsUnpaid_FYB,Fiscal Year Beg,"The amount of goods and/or services ordered, which have not been actually or constructively received and for which amounts have not been prepaid or advanced. This includes amounts specified in other contracts or agreements such as grants, program subsidies, undisbursed loans and claims, and similar events for which an advance or prepayment has not occurred. This account does not close at yearend. (Per USSGL TFM Part 2, Section II, Accounts and Definitions.) ",53(A)(i)(a)_FYB,17,-6500,,,,,,,"Value is the total for the Award, as of the Fiscal Year Beginning.",21,Optional,,,,numeric,"A16, C3",File C - Award Financial,Account Level Information
,,USSGL480100_UndeliveredOrdersObligationsUnpaid_CPE,Current Period End,"The amount of goods and/or services ordered, which have not been actually or constructively received and for which amounts have not been prepaid or advanced. This includes amounts specified in other contracts or agreements such as grants, program subsidies, undisbursed loans and claims, and similar events for which an advance or prepayment has not occurred. This account does not close at yearend. (Per USSGL TFM Part 2, Section II, Accounts and Definitions.) ",53(A)(i)(a)_CPE,18,-6500,,,,,,,"Value is the total for the Award, as of the Current Period End.",21,Optional,,,,numeric,C3,File C - Award Financial,Account Level Information
,,USSGL483100_UndeliveredOrdersObligationsTransferredUnpaid_CPE,Current Period End,"The amount of goods and/or services ordered and obligated in one Treasury Appropriation Fund Symbol (TAFS) and transferred to or from another TAFS, which have not been actually or constructively received and not prepaid or advanced at the time of transfer. This includes amounts specified in other contracts or agreements such as grants, program subsidies, undisbursed loans and claims, and similar events for which an advance or prepayment has not occurred. Although the normal balance for this account is credit, it is acceptable for this account to have a debit balance. (Per USSGL TFM Part 2, Section II, Accounts and Definitions.) ",53(A)(i)(b)_CPE,19,-6500,,,,,,,"Value is the total for the Award, as of the Current Period End.",21,Optional,,,,numeric,C3,File C - Award Financial,Account Level Information
,,USSGL488100_UpwardAdjustmentsOfPriorYearUndeliveredOrdersObligationsUnpaid_CPE,Current Period End,"The amount of upward adjustments during the current fiscal year to obligations that were originally recorded in a prior fiscal year in USSGL account 480100,'Undelivered Orders - Obligations, Unpaid.' (Per USSGL TFM Part 2, Section II, Accounts and Definitions.) ",53(A)(i)(d)_CPE,20,-6500,,,,,,,"Value is the total for the Award, as of the Current Period End.",21,Optional,,,,numeric,C3,File C - Award Financial,Account Level Information
,,ObligationsUndeliveredOrdersUnpaidTotal_FYB,Fiscal Year Beg,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below.

A legally binding agreement that will result in outlays, immediately or in the future. 

",53(A)(i)_FYB,21,-6500,,,,,,,"This is the total outstanding balance of Obligations for undelivered orders that are not yet paid, at the beginning of the fiscal year. This is the total for the Award.",21,Optional,,,,numeric,"A16, C3",File C - Award Financial,Account Level Information
,,ObligationsUndeliveredOrdersUnpaidTotal_CPE,Current Period End,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below. 

A legally binding agreement that will result in outlays, immediately or in the future. 

",53(A)(i)_CPE,22,-6500,,,,,,,"This is the total outstanding balance of Obligations for undelivered orders that are not yet paid, at the end of the current period. This is the total for the Award as of Current Period End.",21,Optional,,,,numeric,C3,File C - Award Financial,Account Level Information
,,USSGL490100_DeliveredOrdersObligationsUnpaid_FYB,Fiscal Year Beg,"The amount accrued or due for: (1) services performed by employees, contractors, vendors, carriers, grantees, lessors, and other government funds; (2) goods and tangible property received; and (3) programs for which no current service performance is required such as annuities, insurance claims, benefit payments, loans, etc. (Per USSGL TFM Part 2, Section II, Accounts and Definitions.) This account does not close at year-end.  (Per USSGL TFM Part 2, Section II, Accounts and Definitions.)",53(A)(ii)(a)_FYB,23,-6500,,,,,,,"Value is the total for the Award, as of the Fiscal Year Beginning.",21,Optional,,,,numeric,"A16, C4",File C - Award Financial,Account Level Information
,,USSGL490100_DeliveredOrdersObligationsUnpaid_CPE,Current Period End,"The amount accrued or due for: (1) services performed by employees, contractors, vendors, carriers, grantees, lessors, and other government funds; (2) goods and tangible property received; and (3) programs for which no current service performance is required such as annuities, insurance claims, benefit payments, loans, etc. (Per USSGL TFM Part 2, Section II, Accounts and Definitions.) This account does not close at year-end.  (Per USSGL TFM Part 2, Section II, Accounts and Definitions.)",53(A)(ii)(a)_CPE,24,-6500,,,,,,,"Value is the total for the Award, as of the Current Period End.",21,Optional,,,,numeric,C4,File C - Award Financial,Account Level Information
,,USSGL493100_DeliveredOrdersObligationsTransferredUnpaid_CPE,Current Period End,"The amount in USSGL account 490100, 'Delivered Orders - Obligations, Unpaid,' transferred during the fiscal year to or from another Treasury Appropriation Fund Symbol. This includes amounts accrued or due for: (1) services performed by employees, contractors, vendors, carriers, grantees, lessors, and other government funds; (2) goods and tangible property received; and (3) programs for which no current service performance is required such as annuities, insurance claims, benefit payments, loans, etc. Although the normal balance for this account is credit, it is acceptable in certain instances for this account to have a debit balance. (Per USSGL TFM Part 2, Section II, Accounts and Definitions.) ",53(A)(ii)(b)_CPE,25,-6500,,,,,,,"Value is the total for the Award, as of the Current Period End.",21,Optional,,,,numeric,C4,File C - Award Financial,Account Level Information
,,USSGL498100_UpwardAdjustmentsOfPriorYearDeliveredOrdersObligationsUnpaid_CPE,Current Period End,"The amount of upward adjustments during the fiscal year to USSGL account 490100, 'Delivered Orders - Obligations, Unpaid,' or USSGL account 490200, 'Delivered Orders - Obligations, Paid,' that were originally recorded in a prior fiscal year. (Per USSGL TFM Part 2, Section II, Accounts and Definitions.)",53(A)(ii)(d)_CPE,26,-6500,,,,,,,"Value is the total for the Award, as of the Current Period End.",21,Optional,,,,numeric,C4,File C - Award Financial,Account Level Information
,,ObligationsDeliveredOrdersUnpaidTotal_FYB,Fiscal Year Beg,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below. 

A legally binding agreement that will result in outlays, immediately or in the future. 

",53(A)(ii)_FYB,27,-6500,,,,,,,"This is the total outstanding balance of Obligations for delivered orders that are not yet paid, at the end of the current period. This is the total for the Award as of Fiscal Year Beginning.",21,Optional,,,,numeric,"A16, C4",File C - Award Financial,Account Level Information
,,ObligationsDeliveredOrdersUnpaidTotal_CPE,Current Period End,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below. 

A legally binding agreement that will result in outlays, immediately or in the future. 

",53(A)(ii)_CPE,28,-6500,,,,,,,"This is the total outstanding balance of Obligations for delivered orders that are not yet paid, at the end of the current period. This is the total for the Award as of Current Period End.",21,Optional,,,,numeric,C4,File C - Award Financial,Account Level Information
,,USSGL480200_UndeliveredOrdersObligationsPrepaidAdvanced_FYB,Fiscal Year Beg,"The amount of cash refunds during the current fiscal year resulting from downward adjustments to obligations that were originally recorded in a prior fiscal year in USSGL account 480200, 'Undelivered Orders - Obligations, Prepaid/Advanced.' (Per USSGL TFM Part 2, Section II, Accounts and Definitions.)",57(A)(i)(a)_FYB,29,-6500,,,,,,,"Value is the total for the Award, as of the Fiscal Year Beginning.",21,Optional,,,,numeric,"A16, C6",File C - Award Financial,Account Level Information
,,USSGL480200_UndeliveredOrdersObligationsPrepaidAdvanced_CPE,Current Period End,"The amount of cash refunds during the current fiscal year resulting from downward adjustments to obligations that were originally recorded in a prior fiscal year in USSGL account 480200, 'Undelivered Orders - Obligations, Prepaid/Advanced.' (Per USSGL TFM Part 2, Section II, Accounts and Definitions.)",57(A)(i)(a)_CPE,30,-6500,,,,,,,"Value is the total for the Award, as of the Current Period End.",21,Optional,,,,numeric,C6,File C - Award Financial,Account Level Information
,,USSGL483200_UndeliveredOrdersObligationsTransferredPrepaidAdvanced_CPE,Current Period End,"The amount of goods and/or services ordered and obligated in one Treasury Appropriation Fund Symbol (TAFS) and transferred to or from another TAFS, which have not been actually or constructively received but have been prepaid or advanced at the time of transfer. This includes amounts specified in other contracts or agreements such as grants, program subsidies, undisbursed loans and claims, and similar events for which an advance or prepayment has not occurred. Although the normal balance for this account is credit, it is acceptable for this account to have a debit balance.(Per USSGL TFM Part 2, Section II, Accounts and Definitions.)",57(A)(i)(b)_CPE,31,-6500,,,,,,,"Value is the total for the Award, as of the Current Period End.",21,Optional,,,,numeric,C6,File C - Award Financial,Account Level Information
,,USSGL488200_UpwardAdjustmentsOfPriorYearUndeliveredOrdersObligationsPrepaidAdvanced_CPE,Current Period End,"The amount of upward adjustments during the current fiscal year to obligations that were originally recorded in a prior fiscal year in USSGL account 480200,'Undelivered Orders - Obligations, Prepaid/Advanced.' (Per USSGL TFM Part 2, Section II, Accounts and Definitions.)",57(A)(i)(d)_CPE,32,-6500,,,,,,,"Value is the total for the Award, as of the Current Period End.",21,Optional,,,,numeric,C6,File C - Award Financial,Account Level Information
,,GrossOutlaysUndeliveredOrdersPrepaidTotal_FYB,Fiscal Year Beg,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below.

Payments made to liquidate an obligation (other than the repayment of debt principal or other disbursements that are 'means of financing' transactions). Outlays generally are equal to cash disbursements but also are recorded for cash-equivalent transactions, such as the issuance of debentures to pay insurance claims, and in a few cases are recorded on an accrual basis such as interest on public issues of the public debt. Outlays are the measure of Government spending. 

",57(A)(i)_FYB,33,-6500,,,,,,,The total outstanding balance of Outlays for undelivered orders that are prepaid. This is the total for the Award as of Fiscal Year Beginning.,21,Optional,,,,numeric,"A16, C5, C6",File C - Award Financial,Account Level Information
,,GrossOutlaysUndeliveredOrdersPrepaidTotal_CPE,Current Period End,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below.

Payments made to liquidate an obligation (other than the repayment of debt principal or other disbursements that are 'means of financing' transactions). Outlays generally are equal to cash disbursements but also are recorded for cash-equivalent transactions, such as the issuance of debentures to pay insurance claims, and in a few cases are recorded on an accrual basis such as interest on public issues of the public debt. Outlays are the measure of Government spending. 

",57(A)(i)_CPE,34,-6500,,,,,,,The total outstanding balance of Outlays for undelivered orders that are prepaid. This is the total for the Award as of Current Period End.,21,Optional,,,,numeric,"C5, C6",File C - Award Financial,Account Level Information
,,USSGL490200_DeliveredOrdersObligationsPaid_CPE,Current Period End,"The amount paid/outlayed for: (1) services performed by employees, contractors, vendors, carriers, grantees, lessors, and other government funds; (2) goods and tangible property received; and (3) programs for which no current service performance is required such as annuities, insurance claims, benefit payments, loans, etc. (Per USSGL TFM Part 2, Section II, Accounts and Definitions.)",57(A)(ii)(a)_CPE,35,-6500,,,,,,,"Value is the total for the Award, as of the Current Period End.",21,Optional,,,,numeric,C7,File C - Award Financial,Account Level Information
,,USSGL490800_AuthorityOutlayedNotYetDisbursed_FYB,Fiscal Year Beg,"The amount of authority outlayed but not yet disbursed. Use only in specific circumstances, such as for interest on certain Bureau of the Fiscal Service securities. This account does not close at yearend. (Per USSGL TFM Part 2, Section II, Accounts and Definitions.)",57(A)(ii)(b)_FYB,36,-6500,,,,,,,"Value is the total for the Award, as of the Fiscal Year Beginning.",21,Optional,,,,numeric,A16,File C - Award Financial,Account Level Information
,,USSGL490800_AuthorityOutlayedNotYetDisbursed_CPE,Current Period End,"The amount of authority outlayed but not yet disbursed. Use only in specific circumstances, such as for interest on certain Bureau of the Fiscal Service securities. This account does not close at yearend. (Per USSGL TFM Part 2, Section II, Accounts and Definitions.)",57(A)(ii)(b)_CPE,37,-6500,,,,,,,"Value is the total for the Award, as of the Current Period End.",21,Optional,,,,numeric,C7,File C - Award Financial,Account Level Information
,,USSGL498200_UpwardAdjustmentsOfPriorYearDeliveredOrdersObligationsPaid_CPE,Current Period End,"The amount of upward adjustments that were originally recorded in a prior fiscal year paid/outlayed during the fiscal year to USSGL account 490100, 'Delivered Orders - Obligations, Unpaid,' or USSGL account 490200, 'Delivered Orders - Obligations, Paid.' (Per USSGL TFM Part 2, Section II, Accounts and Definitions.)",57(A)(ii)(d)_CPE,38,-6500,,,,,,,"Value is the total for the Award, as of the Current Period End.",21,Optional,,,,numeric,C7,File C - Award Financial,Account Level Information
,,GrossOutlaysDeliveredOrdersPaidTotal_FYB,Fiscal Year Beg,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below.

Payments made to liquidate an obligation (other than the repayment of debt principal or other disbursements that are 'means of financing' transactions). Outlays generally are equal to cash disbursements but also are recorded for cash-equivalent transactions, such as the issuance of debentures to pay insurance claims, and in a few cases are recorded on an accrual basis such as interest on public issues of the public debt. Outlays are the measure of Government spending. 

",57(A)(ii)_FYB,39,-6500,,,,,,,"Crosswalks to SF-133 line 3020, Gross Outlays, at the Award level. The total outstanding balance of Outlays for delivered orders that are paid. This is as of Fiscal Year Beginning.",21,Optional,,,,numeric,"A16, C5, C7",File C - Award Financial,Account Level Information
,,GrossOutlaysDeliveredOrdersPaidTotal_CPE,Current Period End,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below.

Payments made to liquidate an obligation (other than the repayment of debt principal or other disbursements that are 'means of financing' transactions). Outlays generally are equal to cash disbursements but also are recorded for cash-equivalent transactions, such as the issuance of debentures to pay insurance claims, and in a few cases are recorded on an accrual basis such as interest on public issues of the public debt. Outlays are the measure of Government spending. 

",57(A)(ii)_CPE,40,-6500,,,,,,,"Crosswalks to SF-133 line 3020, Gross Outlays, at the Award level. The total outstanding balance of Outlays for delivered orders that are paid. This is as of Current Period End.",21,Optional,,,,numeric,"C5, C7",File C - Award Financial,Account Level Information
,,GrossOutlayAmountByAward_FYB,Fiscal Year Beg,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below.

Payments made to liquidate an obligation (other than the repayment of debt principal or other disbursements that are 'means of financing' transactions). Outlays generally are equal to cash disbursements but also are recorded for cash-equivalent transactions, such as the issuance of debentures to pay insurance claims, and in a few cases are recorded on an accrual basis such as interest on public issues of the public debt. Outlays are the measure of Government spending. 

",57(B)_FYB,41,-6500,,,,,,,"Crosswalks to SF-133 line 3020, Gross Outlays, at the Award level. This is as of Fiscal Year Beginning.",21,Optional,,,,numeric,"A16, C5",File C - Award Financial,Account Level Information
,,GrossOutlayAmountByAward_CPE,Current Period End,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below.

Payments made to liquidate an obligation (other than the repayment of debt principal or other disbursements that are 'means of financing' transactions). Outlays generally are equal to cash disbursements but also are recorded for cash-equivalent transactions, such as the issuance of debentures to pay insurance claims, and in a few cases are recorded on an accrual basis such as interest on public issues of the public debt. Outlays are the measure of Government spending. 

",57(B)_CPE,42,-6500,,,,,,,"Crosswalks to SF-133 line 3020, Gross Outlays, at the Award level. This is as of Current Period End.",21,Optional,,,,numeric,C5,File C - Award Financial,Account Level Information
,,ObligationsIncurredTotalByAward_CPE,Current Period End,"The definition for this element appears in Appendix F of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below. 

For unexpired accounts:
Amount of obligations incurred from the beginning of the current fiscal year to the end of the reporting period, net of refunds received that pertain to obligations incurred in the current year. Include upward adjustments of prior obligations. 

For expired accounts:
Amount of upward adjustments of obligations previously incurred. Upward adjustments are limited by the amount available for adjustments. No new obligations may be incurred against expired or canceled accounts.",53/57(B)_CPE,43,-3500,,,,,,,"Crosswalks to SF-133 line 2190, Obligations Incurred, at the Award level, at Current Period End. Do not include downward adjustments.",21,Optional,,,,numeric,,File C - Award Financial,Account Level Information
,,USSGL487100_DownwardAdjustmentsOfPriorYearUnpaidUndeliveredOrdersObligationsRecoveries_CPE,Current Period End,"The amount of recoveries during the current fiscal year resulting from downward adjustments to obligations originally recorded in a prior fiscal year in USSGL account 480100, 'Undelivered Orders - Obligations, Unpaid.' (Per USSGL TFM Part 2, Section II, Accounts and Definitions.)",53/57(B)_CPE,44,6500,,,,,,,"Value is the total for the Award, as of the Current Period End.",21,Optional,,,,numeric,C3,File C - Award Financial,Account Level Information
,,USSGL497100_DownwardAdjustmentsOfPriorYearUnpaidDeliveredOrdersObligationsRecoveries_CPE,Current Period End,"The amount of recoveries that were originally recorded in a prior fiscal year during the fiscal year resulting from downward adjustments to USSGL account 490100, 'Delivered Orders - Obligations, Unpaid.' (Per USSGL TFM Part 2, Section II, Accounts and Definitions.)",53(A)(ii)(c)_CPE,45,6500,,,,,,,"Value is the total for the Award, as of the Current Period End.",21,Optional,,,,numeric,C4,File C - Award Financial,Account Level Information
,,USSGL487200_DownwardAdjustmentsOfPriorYearPrepaidAdvancedUndeliveredOrdersObligationsRefundsCollected_CPE,Current Period End,"The amount of cash refunds during the current fiscal year resulting from downward adjustments to obligations that were originally recorded in a prior fiscal year in USSGL account 480200, 'Undelivered Orders - Obligations, Prepaid/Advanced.'  (Per USSGL TFM Part 2, Section II, Accounts and Definitions.)",57(A)(i)(c)_CPE,46,6500,,,,,,,"Value is the total for the Award, as of the Current Period End.",21,Optional,,,,numeric,C6,File C - Award Financial,Account Level Information
,,USSGL497200_DownwardAdjustmentsOfPriorYearPaidDeliveredOrdersObligationsRefundsCollected_CPE,Current Period End,"The amount of cash refunds during the fiscal year resulting from downward adjustments to USSGL account 490200, 'Delivered Orders - Obligations, Paid,' that were originally recorded in a prior fiscal year. (Per USSGL TFM Part 2, Section II, Accounts and Definitions.)",57(A)(ii)(c)_CPE,47,6500,,,,,,,"Value is the total for the Award, as of the Current Period End.",21,Optional,,,,numeric,C7,File C - Award Financial,Account Level Information
,,DeobligationsRecoveriesRefundsOfPriorYearByAward_CPE,Current Period End,"The amount of downward adjustments to obligations and outlays incurred resulting from deobligations, recoveries, or refunds collected, at the Award level. The adjustments are to the obligations and outlays which were made in a prior year.",54(B)i_CPE,48,3500,,,,,,,"Include current fiscal year activity per Award for the following SGLs: 4871, 4872, 4971, 4972.",21,Optional,,,,numeric,B13,File C - Award Financial,Account Level Information
,,BorrowingAuthorityAmountTotal_CPE,Current Period End,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below.

Borrowing authority is a type of budget authority that permits obligations and outlays to be financed by borrowing. 


",55(B)_CPE,11,3500,,,,,,,Aggregate of SF 133 lines:  1340 Borrowing Auth Discretionary and 1440 Borrowing Auth Mandatory. This is the total for the TAS at Current Period End.,21,Conditional per Validation Rule,,,,numeric,"A3, A10, A17, A25",File A - Appropriations Account,Award Amount Information
,,ContractAuthorityAmountTotal_CPE,Current Period End,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below.

Contract authority is a type of budget authority that permits you to incur obligations in advance of an appropriation, offsetting collections, or receipts to make outlays to liquidate the obligations. Typically, the Congress provides contract authority in an authorizing statute to allow you to incur obligations in anticipation of the collection of receipts or offsetting collections that will be used to liquidate the obligations. ",55(A)_CPE,12,3500,,,,,,,Aggregate of SF 133 lines:  1540 Contract Auth Discretionary and 1640 Contract Auth Mandatory. This is the total for the TAS at Current Period End.,21,Conditional per Validation Rule,,,,numeric,"A3, A9, A17, A26",File A - Appropriations Account,Award Amount Information
,,SpendingAuthorityfromOffsettingCollectionsAmountTotal_CPE,Current Period End,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below.

Spending authority from offsetting collections is a type of budget authority that permits obligations and outlays to be financed by offsetting collections.

Offsetting collections mean payments to the Government that, by law, are credited directly to expenditure accounts and deducted from gross budget authority and outlays of the expenditure account, rather than added to receipts. Usually, they are authorized to be spent for the purposes of the account without further action by Congress. They usually result from business-like transactions with the public, including payments from the public in exchange for goods and services, reimbursements for damages, and gifts or donations of money to the Government and from intragovernmental transactions with other Government accounts. The authority to spend offsetting collections is a form of budget authority.


",55(C)_CPE,13,3500,,,,,,,Aggregate of SF 133 lines:  1750 Spending Auth Discretionary and 1850 Spending Auth Mandatory. This is the total for the TAS at Current Period End.,21,Conditional per Validation Rule,,,,numeric,"A3, A11, A17, A27",File A - Appropriations Account,Award Amount Information
,,OtherBudgetaryResourcesAmount_CPE,Current Period End,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below.

New borrowing authority, contract authority, and spending authority from offsetting collections provided by Congress in an appropriations act or other legislation, or unobligated balances of budgetary resources made available in previous legislation, to incur obligations and to make outlays.
",55_CPE,14,3500,,,,,,,"Aggregate of SF 133 lines: 1340+1440 (Borrowing Authority), 1540+1640 (Contract Authority), and 1750+1850 (Spending Authority from Offsetting Collections). This is the total for the TAS at Current Period End.",21,Conditional per Validation Rule,,,,numeric,"A2, A3, A17, A28",File A - Appropriations Account,Award Amount Information
,,BudgetAuthorityAvailableAmountTotal_CPE,Current Period End,"The total amount of all obligation budget authority including unobligated balances carried forward, adjustments to unobligated balances carried forward, appropriated amounts, and other budgetary resources, as of the reported date.

",52/55_CPE,15,3500,,,,,,,Crosswalks to SF 133 line 1910 Total Budgetary Resources. This is the total for the TAS at Current Period End.,21,Required,,,,numeric,"A2, A4, A6, A17, A24",File A - Appropriations Account,Award Amount Information
,,ByDirectReimbursableFundingSource,Report date,Holds an attribute flag which specifies that the funding source of the associated data value is either a Direct or Reimbursable Funding Source.,50(A),11,R,,,,,,,"Provide abbreviated code label: 'R' for 'ReimbursableFundingSource', 'D' for 'DirectFundingSource'.",1,Required,,,,string,B12,File B - Object Class and Program Activity,Award Amount Information
,,USSGL480100_UndeliveredOrdersObligationsUnpaid_FYB,Fiscal Year Beg,"The amount of goods and/or services ordered, which have not been actually or constructively received and for which amounts have not been prepaid or advanced. This includes amounts specified in other contracts or agreements such as grants, program subsidies, undisbursed loans and claims, and similar events for which an advance or prepayment has not occurred. This account does not close at yearend. (Per USSGL TFM Part 2, Section II, Accounts and Definitions.) ",53(A)(i)(a)_FYB,12,-4500,,,,,,,"Value is the aggregated total at the TAS / Program Activity / Object Class level, as of the Fiscal Year Beginning.",21,Required,,,,numeric,A16,File B - Object Class and Program Activity,Award Amount Information
,,USSGL480100_UndeliveredOrdersObligationsUnpaid_CPE,Current Period End,"The amount of goods and/or services ordered, which have not been actually or constructively received and for which amounts have not been prepaid or advanced. This includes amounts specified in other contracts or agreements such as grants, program subsidies, undisbursed loans and claims, and similar events for which an advance or prepayment has not occurred. This account does not close at yearend. (Per USSGL TFM Part 2, Section II, Accounts and Definitions.) ",53(A)(i)(a)_CPE,13,-4500,,,,,,,"Value is the aggregated total at the TAS / Program Activity / Object Class level, as of the Current Period End.",21,Required,,,,numeric,B3,File B - Object Class and Program Activity,Award Amount Information
,,USSGL483100_UndeliveredOrdersObligationsTransferredUnpaid_CPE,Current Period End,"The amount of goods and/or services ordered and obligated in one Treasury Appropriation Fund Symbol (TAFS) and transferred to or from another TAFS, which have not been actually or constructively received and not prepaid or advanced at the time of transfer. This includes amounts specified in other contracts or agreements such as grants, program subsidies, undisbursed loans and claims, and similar events for which an advance or prepayment has not occurred. Although the normal balance for this account is credit, it is acceptable for this account to have a debit balance. (Per USSGL TFM Part 2, Section II, Accounts and Definitions.) ",53(A)(i)(b)_CPE,14,-4500,,,,,,,"Value is the aggregated total at the TAS / Program Activity / Object Class level, as of the Current Period End.",21,Required,,,,numeric,B3,File B - Object Class and Program Activity,Award Amount Information
