File,DataElementLabel,Definition,Use,Grouping
File A - Appropriations Account,SpendingAuthorityFromOffsettingCollectionsAmountTotal_CPE,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below.

Spending authority from offsetting collections is a type of budget authority that permits obligations and outlays to be financed by offsetting collections.

Offsetting collections mean payments to the Government that, by law, are credited directly to expenditure accounts and deducted from gross budget authority and outlays of the expenditure account, rather than added to receipts. Usually, they are authorized to be spent for the purposes of the account without further action by Congress. They usually result from business-like transactions with the public, including payments from the public in exchange for goods and services, reimbursements for damages, and gifts or donations of money to the Government and from intragovernmental transactions with other Government accounts. The authority to spend offsetting collections is a form of budget authority.


",Conditional per Validation Rule,Appropriation Account Balances: Budget Authority Available
File A - Appropriations Account,StatusOfBudgetaryResourcesTotal_CPE,"This element addresses the status of budgetary resources and includes the total of obligated and unobligated balances, at the reported date. The value should equal the Budget Authority Available Amount Total for the TAS at Current Period End.",Required,Appropriation Account Balances: Status of Budgetary Resources
File A - Appropriations Account,ObligationsIncurredTotalByTAS_CPE,"The definition for this element appears in Appendix F of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below.

For unexpired accounts:
Amount of obligations incurred from the beginning of the current fiscal year to the end of the reporting period, net of refunds received that pertain to obligations incurred in the current year. Include upward adjustments of prior obligations. 

For expired accounts:
Amount of upward adjustments of obligations previously incurred. Upward adjustments are limited by the amount available for adjustments. No new obligations may be incurred against expired or canceled accounts.



",Required,Appropriation Account Balances: Status of Budgetary Resources
File A - Appropriations Account,GrossOutlayAmountByTAS_CPE,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below.

Payments made to liquidate an obligation (other than the repayment of debt principal or other disbursements that are “means of financing” transactions). Outlays generally are equal to cash disbursements but also are recorded for cash-equivalent transactions, such as the issuance of debentures to pay insurance claims, and in a few cases are recorded on an accrual basis such as interest on public issues of the public debt. Outlays are the measure of Government spending. 

",Required,Appropriation Account Balances: Status of Budgetary Resources
File A - Appropriations Account,UnobligatedBalance_CPE,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below.

Unobligated balance means the cumulative amount of budget authority that remains available for obligation under law in unexpired accounts. The term “expired balances available for adjustment only” refers to unobligated amounts in expired accounts.
 

",Required,Appropriation Account Balances: Status of Budgetary Resources
File A - Appropriations Account,DeobligationsRecoveriesRefundsByTAS_CPE,"The amount of downward adjustments to obligations and outlays resulting from deobligations, recoveries, or refunds collected, summarized at the TAS level. The adjustments are to the obligations and outlays which were made in a prior year.",Required,Appropriation Account Balances: Status of Budgetary Resources
File B - Object Class and Program Activity,AllocationTransferAgencyIdentifier,The allocation agency identifies the department or agency that is receiving funds through an allocation (non-expenditure) transfer.,Conditional per Validation Rule,TAS Component
File B - Object Class and Program Activity,AgencyIdentifier,The agency code identifies the department or agency that is responsible for the account.,Required,TAS Component
File B - Object Class and Program Activity,BeginningPeriodOfAvailability,"In annual and multi-year funds, the beginning period of availability identifies the first year of availability under law that an appropriation account may incur new obligations.",Conditional per Validation Rule,TAS Component
File B - Object Class and Program Activity,EndingPeriodOfAvailability,"In annual and multi-year funds, the end period of availability identifies the last year of funds availability under law that an appropriation account may incur new obligations.",Conditional per Validation Rule,TAS Component
File B - Object Class and Program Activity,AvailabilityTypeCode,"In appropriations accounts, the availability type code identifies an unlimited period to incur new obligations; this is denoted by the letter ""X"".",Conditional per Validation Rule,TAS Component
File B - Object Class and Program Activity,MainAccountCode,The main account code identifies the account in statute.,Required,TAS Component
File B - Object Class and Program Activity,SubAccountCode,This is a component of the TAS. Identifies a Treasury-defined subdivision of the main account. This field cannot be blank. Subaccount 000 indicates the Parent account.,Required,TAS Component
File B - Object Class and Program Activity,ProgramActivityCode,"The definition for this element appears in Section 200 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below. 

Code of a specific activity or project as listed in the program and financing schedules of the annual budget of the United States Government.  ",Required,"ID by TAS, Program Activity, Object Class, Direct Reimbursable"
File B - Object Class and Program Activity,ProgramActivityName,"The definition for this element appears in Section 200 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below. 

Name of a specific activity or project as listed in the program and financing schedules of the annual budget of the United States Government.  ",Required,"ID by TAS, Program Activity, Object Class, Direct Reimbursable"
File B - Object Class and Program Activity,ObjectClass,"The definition for this element appears in Section 83 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below.

Categories in a classification system that presents obligations by the items or services purchased by the Federal Government.",Required,"ID by TAS, Program Activity, Object Class, Direct Reimbursable"
File B - Object Class and Program Activity,ByDirectReimbursableFundingSource,Holds an attribute flag which specifies that the funding source of the associated data value is either a Direct or Reimbursable Funding Source.,Conditional per Validation Rule,"ID by TAS, Program Activity, Object Class, Direct Reimbursable"
File B - Object Class and Program Activity,ObligationsIncurredByProgramObjectClass_CPE,"The definition for this element appears in Appendix F of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below. 

For unexpired accounts:
Amount of obligations incurred from the beginning of the current fiscal year to the end of the reporting period, net of refunds received that pertain to obligations incurred in the current year. Include upward adjustments of prior obligations. 

For expired accounts:
Amount of upward adjustments of obligations previously incurred. Upward adjustments are limited by the amount available for adjustments. No new obligations may be incurred against expired or canceled accounts.",Required,Obligations Incurred by Program Object Class
File B - Object Class and Program Activity,ObligationsUndeliveredOrdersUnpaidTotal_CPE,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below. 

A legally binding agreement that will result in outlays, immediately or in the future.",Required,Obligations Incurred by Program Object Class
File B - Object Class and Program Activity,ObligationsUndeliveredOrdersUnpaidTotal_FYB,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below. 

A legally binding agreement that will result in outlays, immediately or in the future.",Required,Obligations Incurred by Program Object Class
File B - Object Class and Program Activity,USSGL480100_UndeliveredOrdersObligationsUnpaid_CPE,"The amount of goods and/or services ordered, which have not been actually or constructively received and for which amounts have not been prepaid or advanced. This includes amounts specified in other contracts or agreements such as grants, program subsidies, undisbursed loans and claims, and similar events for which an advance or prepayment has not occurred. This account does not close at yearend. (Per USSGL TFM Part 2, Section II, Accounts and Definitions.) ",Required,Obligations Incurred by Program Object Class
File B - Object Class and Program Activity,USSGL480100_UndeliveredOrdersObligationsUnpaid_FYB,"The amount of goods and/or services ordered, which have not been actually or constructively received and for which amounts have not been prepaid or advanced. This includes amounts specified in other contracts or agreements such as grants, program subsidies, undisbursed loans and claims, and similar events for which an advance or prepayment has not occurred. This account does not close at yearend. (Per USSGL TFM Part 2, Section II, Accounts and Definitions.) ",Required,Obligations Incurred by Program Object Class
File B - Object Class and Program Activity,USSGL483100_UndeliveredOrdersObligationsTransferredUnpaid_CPE,"The amount of goods and/or services ordered and obligated in one Treasury Appropriation Fund Symbol (TAFS) and transferred to or from another TAFS, which have not been actually or constructively received and not prepaid or advanced at the time of transfer. This includes amounts specified in other contracts or agreements such as grants, program subsidies, undisbursed loans and claims, and similar events for which an advance or prepayment has not occurred. Although the normal balance for this account is credit, it is acceptable for this account to have a debit balance. (Per USSGL TFM Part 2, Section II, Accounts and Definitions.) ",Required,Obligations Incurred by Program Object Class
File B - Object Class and Program Activity,USSGL488100_UpwardAdjustmentsOfPriorYearUndeliveredOrdersObligationsUnpaid_CPE,"The amount of upward adjustments during the current fiscal year to obligations that were originally recorded in a prior fiscal year in USSGL account 480100,""Undelivered Orders - Obligations, Unpaid."" (Per USSGL TFM Part 2, Section II, Accounts and Definitions.) ",Required,Obligations Incurred by Program Object Class
File B - Object Class and Program Activity,ObligationsDeliveredOrdersUnpaidTotal_CPE,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below. 

A legally binding agreement that will result in outlays, immediately or in the future. 

",Required,Obligations Incurred by Program Object Class
File B - Object Class and Program Activity,ObligationsDeliveredOrdersUnpaidTotal_FYB,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below. 

A legally binding agreement that will result in outlays, immediately or in the future. 

",Required,Obligations Incurred by Program Object Class
File B - Object Class and Program Activity,USSGL490100_DeliveredOrdersObligationsUnpaid_CPE,"The amount accrued or due for: (1) services performed by employees, contractors, vendors, carriers, grantees, lessors, and other government funds; (2) goods and tangible property received; and (3) programs for which no current service performance is required such as annuities, insurance claims, benefit payments, loans, etc. (Per USSGL TFM Part 2, Section II, Accounts and Definitions.) This account does not close at year-end.  (Per USSGL TFM Part 2, Section II, Accounts and Definitions.)",Required,Obligations Incurred by Program Object Class
File B - Object Class and Program Activity,USSGL490100_DeliveredOrdersObligationsUnpaid_FYB,"The amount accrued or due for: (1) services performed by employees, contractors, vendors, carriers, grantees, lessors, and other government funds; (2) goods and tangible property received; and (3) programs for which no current service performance is required such as annuities, insurance claims, benefit payments, loans, etc. (Per USSGL TFM Part 2, Section II, Accounts and Definitions.) This account does not close at year-end.  (Per USSGL TFM Part 2, Section II, Accounts and Definitions.)",Required,Obligations Incurred by Program Object Class
File B - Object Class and Program Activity,USSGL493100_DeliveredOrdersObligationsTransferredUnpaid_CPE,"The amount in USSGL account 490100, ""Delivered Orders - Obligations, Unpaid,"" transferred during the fiscal year to or from another Treasury Appropriation Fund Symbol. This includes amounts accrued or due for: (1) services performed by employees, contractors, vendors, carriers, grantees, lessors, and other government funds; (2) goods and tangible property received; and (3) programs for which no current service performance is required such as annuities, insurance claims, benefit payments, loans, etc. Although the normal balance for this account is credit, it is acceptable in certain instances for this account to have a debit balance. (Per USSGL TFM Part 2, Section II, Accounts and Definitions.) ",Required,Obligations Incurred by Program Object Class
File B - Object Class and Program Activity,USSGL498100_UpwardAdjustmentsOfPriorYearDeliveredOrdersObligationsUnpaid_CPE,"The amount of upward adjustments during the fiscal year to USSGL account 490100, ""Delivered Orders - Obligations, Unpaid,"" or USSGL account 490200, ""Delivered Orders - Obligations, Paid,"" that were originally recorded in a prior fiscal year. (Per USSGL TFM Part 2, Section II, Accounts and Definitions.)",Required,Obligations Incurred by Program Object Class
File B - Object Class and Program Activity,GrossOutlayAmountByProgramObjectClass_CPE,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below.

Payments made to liquidate an obligation (other than the repayment of debt principal or other disbursements that are “means of financing” transactions). Outlays generally are equal to cash disbursements but also are recorded for cash-equivalent transactions, such as the issuance of debentures to pay insurance claims, and in a few cases are recorded on an accrual basis such as interest on public issues of the public debt. Outlays are the measure of Government spending. 

",Required,Obligations Incurred by Program Object Class
File B - Object Class and Program Activity,GrossOutlayAmountByProgramObjectClass_FYB,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below.

Payments made to liquidate an obligation (other than the repayment of debt principal or other disbursements that are “means of financing” transactions). Outlays generally are equal to cash disbursements but also are recorded for cash-equivalent transactions, such as the issuance of debentures to pay insurance claims, and in a few cases are recorded on an accrual basis such as interest on public issues of the public debt. Outlays are the measure of Government spending. 

",Required,Obligations Incurred by Program Object Class
File B - Object Class and Program Activity,GrossOutlaysUndeliveredOrdersPrepaidTotal_CPE,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below.

Payments made to liquidate an obligation (other than the repayment of debt principal or other disbursements that are “means of financing” transactions). Outlays generally are equal to cash disbursements but also are recorded for cash-equivalent transactions, such as the issuance of debentures to pay insurance claims, and in a few cases are recorded on an accrual basis such as interest on public issues of the public debt. Outlays are the measure of Government spending. 

",Required,Obligations Incurred by Program Object Class
File B - Object Class and Program Activity,GrossOutlaysUndeliveredOrdersPrepaidTotal_FYB,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below.

Payments made to liquidate an obligation (other than the repayment of debt principal or other disbursements that are “means of financing” transactions). Outlays generally are equal to cash disbursements but also are recorded for cash-equivalent transactions, such as the issuance of debentures to pay insurance claims, and in a few cases are recorded on an accrual basis such as interest on public issues of the public debt. Outlays are the measure of Government spending. 

",Required,Obligations Incurred by Program Object Class
File B - Object Class and Program Activity,USSGL480200_UndeliveredOrdersObligationsPrepaidAdvanced_CPE,"The amount of goods and/or services ordered, which have not been actually or constructively received but have been prepaid or advanced. This includes amounts specified in other contracts or agreements such as grants, program subsidies, undisbursed loans and claims, and similar events for which an advance or prepayment has occurred. This account does not close at yearend. (Per USSGL TFM Part 2, Section II, Accounts and Definitions.)",Required,Obligations Incurred by Program Object Class
File B - Object Class and Program Activity,USSGL480200_UndeliveredOrdersObligationsPrepaidAdvanced_FYB,"The amount of goods and/or services ordered, which have not been actually or constructively received but have been prepaid or advanced. This includes amounts specified in other contracts or agreements such as grants, program subsidies, undisbursed loans and claims, and similar events for which an advance or prepayment has occurred. This account does not close at yearend. (Per USSGL TFM Part 2, Section II, Accounts and Definitions.)",Required,Obligations Incurred by Program Object Class
File B - Object Class and Program Activity,USSGL483200_UndeliveredOrdersObligationsTransferredPrepaidAdvanced_CPE,"The amount of goods and/or services ordered and obligated in one Treasury Appropriation Fund Symbol (TAFS) and transferred to or from another TAFS, which have not been actually or constructively received but have been prepaid or advanced at the time of transfer. This includes amounts specified in other contracts or agreements such as grants, program subsidies, undisbursed loans and claims, and similar events for which an advance or prepayment has not occurred. Although the normal balance for this account is credit, it is acceptable for this account to have a debit balance.(Per USSGL TFM Part 2, Section II, Accounts and Definitions.)",Required,Obligations Incurred by Program Object Class
File B - Object Class and Program Activity,USSGL488200_UpwardAdjustmentsOfPriorYearUndeliveredOrdersObligationsPrepaidAdvanced_CPE,"The amount of upward adjustments during the current fiscal year to obligations that were originally recorded in a prior fiscal year in USSGL account 480200,""Undelivered Orders - Obligations, Prepaid/Advanced."" (Per USSGL TFM Part 2, Section II, Accounts and Definitions.)",Required,Obligations Incurred by Program Object Class
File B - Object Class and Program Activity,GrossOutlaysDeliveredOrdersPaidTotal_CPE,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below.

Payments made to liquidate an obligation (other than the repayment of debt principal or other disbursements that are “means of financing” transactions). Outlays generally are equal to cash disbursements but also are recorded for cash-equivalent transactions, such as the issuance of debentures to pay insurance claims, and in a few cases are recorded on an accrual basis such as interest on public issues of the public debt. Outlays are the measure of Government spending. 

",Required,Obligations Incurred by Program Object Class
File B - Object Class and Program Activity,GrossOutlaysDeliveredOrdersPaidTotal_FYB,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below.

Payments made to liquidate an obligation (other than the repayment of debt principal or other disbursements that are “means of financing” transactions). Outlays generally are equal to cash disbursements but also are recorded for cash-equivalent transactions, such as the issuance of debentures to pay insurance claims, and in a few cases are recorded on an accrual basis such as interest on public issues of the public debt. Outlays are the measure of Government spending. 

",Required,Obligations Incurred by Program Object Class
File B - Object Class and Program Activity,USSGL490200_DeliveredOrdersObligationsPaid_CPE,"The amount paid/outlayed for: (1) services performed by employees, contractors, vendors, carriers, grantees, lessors, and other government funds; (2) goods and tangible property received; and (3) programs for which no current service performance is required such as annuities, insurance claims, benefit payments, loans, etc. (Per USSGL TFM Part 2, Section II, Accounts and Definitions.)",Required,Obligations Incurred by Program Object Class
File B - Object Class and Program Activity,USSGL490800_AuthorityOutlayedNotYetDisbursed_CPE,"The amount of authority outlayed but not yet disbursed. Use only in specific circumstances, such as for interest on certain Bureau of the Fiscal Service securities. This account does not close at yearend. (Per USSGL TFM Part 2, Section II, Accounts and Definitions.)",Required,Obligations Incurred by Program Object Class
File B - Object Class and Program Activity,USSGL490800_AuthorityOutlayedNotYetDisbursed_FYB,"The amount of authority outlayed but not yet disbursed. Use only in specific circumstances, such as for interest on certain Bureau of the Fiscal Service securities. This account does not close at yearend. (Per USSGL TFM Part 2, Section II, Accounts and Definitions.)",Required,Obligations Incurred by Program Object Class
File B - Object Class and Program Activity,USSGL498200_UpwardAdjustmentsOfPriorYearDeliveredOrdersObligationsPaid_CPE,"The amount of upward adjustments that were originally recorded in a prior fiscal year paid/outlayed during the fiscal year to USSGL account 490100, ""Delivered Orders - Obligations, Unpaid,"" or USSGL account 490200, ""Delivered Orders - Obligations, Paid."" (Per USSGL TFM Part 2, Section II, Accounts and Definitions.)",Required,Obligations Incurred by Program Object Class
File B - Object Class and Program Activity,DeobligationsRecoveriesRefundsOfPriorYearByProgramObjectClass_CPE,"The amount of downward adjustments to obligations and outlays incurred resulting from deobligations, recoveries, or refunds collected, at the TAS / Program Activity / Object Class level. The adjustments are to the obligations and outlays which were made in a prior year.",Required,Deobligations Recoveries Refunds of Prior Year by Program Object Class
File B - Object Class and Program Activity,USSGL487100_DownwardAdjustmentsOfPriorYearUnpaidUndeliveredOrdersObligationsRecoveries_CPE,"The amount of recoveries during the current fiscal year resulting from downward adjustments to obligations originally recorded in a prior fiscal year in USSGL account 480100, ""Undelivered Orders - Obligations, Unpaid."" (Per USSGL TFM Part 2, Section II, Accounts and Definitions.)",Required,Deobligations Recoveries Refunds of Prior Year by Program Object Class
File B - Object Class and Program Activity,USSGL497100_DownwardAdjustmentsOfPriorYearUnpaidDeliveredOrdersObligationsRecoveries_CPE,"The amount of recoveries that were originally recorded in a prior fiscal year during the fiscal year resulting from downward adjustments to USSGL account 490100, ""Delivered Orders - Obligations, Unpaid."" (Per USSGL TFM Part 2, Section II, Accounts and Definitions.)",Required,Deobligations Recoveries Refunds of Prior Year by Program Object Class
File B - Object Class and Program Activity,USSGL487200_DownwardAdjustmentsOfPriorYearPrepaidAdvancedUndeliveredOrdersObligationsRefundsCollected_CPE,"The amount of cash refunds during the current fiscal year resulting from downward adjustments to obligations that were originally recorded in a prior fiscal year in USSGL account 480200, ""Undelivered Orders - Obligations, Prepaid/Advanced.""  (Per USSGL TFM Part 2, Section II, Accounts and Definitions.)",Required,Deobligations Recoveries Refunds of Prior Year by Program Object Class
File B - Object Class and Program Activity,USSGL497200_DownwardAdjustmentsOfPriorYearPaidDeliveredOrdersObligationsRefundsCollected_CPE,"The amount of cash refunds during the fiscal year resulting from downward adjustments to USSGL account 490200, ""Delivered Orders - Obligations, Paid,"" that were originally recorded in a prior fiscal year. (Per USSGL TFM Part 2, Section II, Accounts and Definitions.)",Required,Deobligations Recoveries Refunds of Prior Year by Program Object Class
File C - Award Financial,AllocationTransferAgencyIdentifier,The allocation agency identifies the department or agency that is receiving funds through an allocation (non-expenditure) transfer.,Conditional per Validation Rule,TAS Component
File C - Award Financial,AgencyIdentifier,The agency code identifies the department or agency that is responsible for the account.,Required,TAS Component
File C - Award Financial,BeginningPeriodOfAvailability,"In annual and multi-year funds, the beginning period of availability identifies the first year of availability under law that an appropriation account may incur new obligations.",Conditional per Validation Rule,TAS Component
File C - Award Financial,EndingPeriodOfAvailability,"In annual and multi-year funds, the end period of availability identifies the last year of funds availability under law that an appropriation account may incur new obligations.",Conditional per Validation Rule,TAS Component
File C - Award Financial,AvailabilityTypeCode,"In appropriations accounts, the availability type code identifies an unlimited period to incur new obligations; this is denoted by the letter ""X"".",Conditional per Validation Rule,TAS Component
File C - Award Financial,MainAccountCode,The main account code identifies the account in statute.,Required,TAS Component
File C - Award Financial,SubAccountCode,This is a component of the TAS. Identifies a Treasury-defined subdivision of the main account. This field cannot be blank. Subaccount 000 indicates the Parent account.,Required,TAS Component
File C - Award Financial,PIID,The unique identifier of the specific award being reported.,Conditional per Award Type,"Award Balances: ID by TAS- Program Activity-Object Class-
Award-Direct Reimbursable"
File C - Award Financial,ParentAwardId,The identifier of the procurement award under which the specific award is issued (such as a Federal Supply Schedule). Term currently applies to procurement actions only,Conditional per Award Type,"Award Balances: ID by TAS- Program Activity-Object Class-
Award-Direct Reimbursable"
File C - Award Financial,FAIN,The Federal Award Identification Number (FAIN) is the unique ID within the Federal agency for each (non-aggregate) financial assistance award.,Conditional per Validation Rule,"Award Balances: ID by TAS- Program Activity-Object Class-
Award-Direct Reimbursable"
File C - Award Financial,URI,Unique Record Identifier. An agency defined identifier that (when provided) is unique for every reported action.,Conditional per Validation Rule,"Award Balances: ID by TAS- Program Activity-Object Class-
Award-Direct Reimbursable"
File C - Award Financial,ProgramActivityCode,"The definition for this element appears in Section 200 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below. 

Code of a specific activity or project as listed in the program and financing schedules of the annual budget of the United States Government.  ",Optional,"Award Balances: ID by TAS- Program Activity-Object Class-
Award-Direct Reimbursable"
File C - Award Financial,ProgramActivityName,"The definition for this element appears in Section 200 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below. 

Name of a specific activity or project as listed in the program and financing schedules of the annual budget of the United States Government.  ",Optional,"Award Balances: ID by TAS- Program Activity-Object Class-
Award-Direct Reimbursable"
File C - Award Financial,ObjectClass,"The definition for this element appears in Section 83 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below.

Categories in a classification system that presents obligations by the items or services purchased by the Federal Government.",Required,"Award Balances: ID by TAS- Program Activity-Object Class-
Award-Direct Reimbursable"
File C - Award Financial,ByDirectReimbursableFundingSource,Holds an attribute flag which specifies that the funding source of the associated data value is either a Direct or Reimbursable Funding Source.,Conditional per Validation Rule,"Award Balances: ID by TAS- Program Activity-Object Class-
Award-Direct Reimbursable"
File C - Award Financial,TransactionObligatedAmount,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below. 

Obligation means a binding agreement that will result in outlays, immediately or in the future. Budgetary resources must be available before obligations can be incurred legally.",Conditional per Validation Rule,"Award Balances (by TAS-Program Activity-
Object Class-award-Direct Reimbursable): Transaction Obligated Amount"
File C - Award Financial,ObligationsIncurredTotalByAward_CPE,"The definition for this element appears in Appendix F of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below. 

For unexpired accounts:
Amount of obligations incurred from the beginning of the current fiscal year to the end of the reporting period, net of refunds received that pertain to obligations incurred in the current year. Include upward adjustments of prior obligations. 

For expired accounts:
Amount of upward adjustments of obligations previously incurred. Upward adjustments are limited by the amount available for adjustments. No new obligations may be incurred against expired or canceled accounts.",Optional,"Award Balances (by TAS-Program Activity-
Object Class-award-Direct Reimbursable): Obligations Incurred Total by Award"
File C - Award Financial,ObligationsUndeliveredOrdersUnpaidTotal_CPE,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below. 

A legally binding agreement that will result in outlays, immediately or in the future.",Optional,"Award Balances (by TAS-Program Activity-
Object Class-award-Direct Reimbursable): Obligations Incurred Total by Award"
File C - Award Financial,ObligationsUndeliveredOrdersUnpaidTotal_FYB,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below. 

A legally binding agreement that will result in outlays, immediately or in the future.",Optional,"Award Balances (by TAS-Program Activity-
Object Class-award-Direct Reimbursable): Obligations Incurred Total by Award"
File C - Award Financial,USSGL480100_UndeliveredOrdersObligationsUnpaid_CPE,"The amount of goods and/or services ordered, which have not been actually or constructively received and for which amounts have not been prepaid or advanced. This includes amounts specified in other contracts or agreements such as grants, program subsidies, undisbursed loans and claims, and similar events for which an advance or prepayment has not occurred. This account does not close at yearend. (Per USSGL TFM Part 2, Section II, Accounts and Definitions.) ",Optional,"Award Balances (by TAS-Program Activity-
Object Class-award-Direct Reimbursable): Obligations Incurred Total by Award"
File C - Award Financial,USSGL480100_UndeliveredOrdersObligationsUnpaid_FYB,"The amount of goods and/or services ordered, which have not been actually or constructively received and for which amounts have not been prepaid or advanced. This includes amounts specified in other contracts or agreements such as grants, program subsidies, undisbursed loans and claims, and similar events for which an advance or prepayment has not occurred. This account does not close at yearend. (Per USSGL TFM Part 2, Section II, Accounts and Definitions.) ",Optional,"Award Balances (by TAS-Program Activity-
Object Class-award-Direct Reimbursable): Obligations Incurred Total by Award"
