Agency Name,Bureau Name,Agency Code,Bureau Code,Treasury Code,CGAC Code
Department of the Treasury,Financial Crimes Enforcement Network,015,04,20,020
Department of the Treasury,Fiscal Service,015,12,20,020
Department of the Treasury,Federal Financing Bank,015,11,20,020
Department of the Treasury,Alcohol and Tobacco Tax and Trade Bureau,015,13,20,020
Department of the Treasury,Bureau of Engraving and Printing,015,20,20,020
Department of the Treasury,United States Mint,015,25,20,020
Department of the Treasury,Internal Revenue Service,015,45,20,020
Department of the Treasury,Comptroller of the Currency,015,57,20,020
Department of the Treasury,Interest on the Public Debt,015,60,20,020
Department of Veterans Affairs,Department of Veterans Affairs,029,00,36,036
Department of Veterans Affairs,Veterans Health Administration,029,15,36,036
Department of Veterans Affairs,Benefits Programs,029,25,36,036
Department of Veterans Affairs,Departmental Administration,029,40,36,036
Other Defense Civil Programs,Other Defense Civil Programs,200,00,84,n/a
Other Defense Civil Programs,Military Retirement,200,05,97,097
Other Defense Civil Programs,Retiree Health Care,200,07,97,097
Other Defense Civil Programs,Educational Benefits,200,10,97,097
Other Defense Civil Programs,American Battle Monuments Commission,200,15,74,074
Other Defense Civil Programs,Armed Forces Retirement Home,200,20,84,084
Other Defense Civil Programs,Cemeterial Expenses,200,25,21,021
Other Defense Civil Programs,"Forest and Wildlife Conservation, Military Reservations",200,30,97,017
Other Defense Civil Programs,Selective Service System,200,45,90,090
International Assistance Programs,International Assistance Programs,184,00,72,n/a
International Assistance Programs,Millennium Challenge Corporation,184,03,95,524
International Assistance Programs,International Security Assistance,184,05,11,011
International Assistance Programs,Multilateral Assistance,184,10,11,011
International Assistance Programs,Agency for International Development,184,15,72,072
International Assistance Programs,Overseas Private Investment Corporation,184,20,71,071
International Assistance Programs,Trade and Development Agency,184,25,11,011
International Assistance Programs,Peace Corps,184,35,11,011
International Assistance Programs,Inter-American Foundation,184,40,11,011
International Assistance Programs,African Development Foundation,184,50,11,011
International Assistance Programs,International Monetary Programs,184,60,11,011
International Assistance Programs,Military Sales Program,184,70,11,011
International Assistance Programs,Special Assistance Initiatives,184,75,72,072
International Assistance Programs,Foreign Assistance Program Allowances,184,95,95,n/a
Executive Office of the President,Executive Office of the President,100,00,11,011
Executive Office of the President,The White House,100,05,11,011
Executive Office of the President,Executive Residence at the White House,100,10,11,011
Executive Office of the President,Special Assistance to the President and the Official Residence of the Vice President,100,15,11,011
Executive Office of the President,Council of Economic Advisers,100,20,11,011
Executive Office of the President,Council on Environmental Quality and Office of Environmental Quality,100,25,11,011
Executive Office of the President,National Security Council and Homeland Security Council,100,35,11,011
Executive Office of the President,Office of Administration,100,50,11,011
Executive Office of the President,Office of Management and Budget,100,55,11,011
Executive Office of the President,Office of National Drug Control Policy,100,60,11,011
Executive Office of the President,Office of Science and Technology Policy,100,65,11,011
Executive Office of the President,Office of the United States Trade Representative,100,70,11,011
Executive Office of the President,Unanticipated Needs,100,95,11,011
Corps of Engineers - Civil Works,Corps of Engineers - Civil Works,202,00,96,096
Environmental Protection Agency,Environmental Protection Agency,020,00,68,068
General Services Administration,General Services Administration,023,00,47,047
General Services Administration,Real Property Activities,023,05,47,047
General Services Administration,Supply and Technology Activities,023,10,47,047
General Services Administration,General Activities,023,30,47,047
National Aeronautics and Space Administration,National Aeronautics and Space Administration,026,00,80,080
National Science Foundation,National Science Foundation,422,00,49,049
Office of Personnel Management,Office of Personnel Management,027,00,24,024
Small Business Administration,Small Business Administration,028,00,73,073
Social Security Administration,Social Security Administration,016,00,28,028
Access Board,Access Board,310,00,95,310
Administrative Conference of the United States,Administrative Conference of the United States,302,00,95,302
Advisory Council on Historic Preservation,Advisory Council on Historic Preservation,306,00,95,306
Affordable Housing Program,Affordable Housing Program,530,00,95,n/a
Appalachian Regional Commission,Appalachian Regional Commission,309,00,46,309
Barry Goldwater Scholarship and Excellence in Education Foundation,Barry Goldwater Scholarship and Excellence in Education Foundation,313,00,95,313
Broadcasting Board of Governors,Broadcasting Board of Governors,514,00,95,514
Bureau of Consumer Financial Protection,Bureau of Consumer Financial Protection,581,00,95,581
Central Intelligence Agency,Central Intelligence Agency,316,00,56,056
Chemical Safety and Hazard Investigation Board,Chemical Safety and Hazard Investigation Board,510,00,95,510
Christopher Columbus Fellowship Foundation,Christopher Columbus Fellowship Foundation,465,00,76,465
Civilian Property Realignment Board,Civilian Property Realignment Board,582,00,95,n/a
Commission of Fine Arts,Commission of Fine Arts,323,00,95,323
Commission on Civil Rights,Commission on Civil Rights,326,00,95,326
"Committee for Purchase from People who are Blind or Severely Disabled, activities","Committee for Purchase from People who are Blind or Severely Disabled, activities",338,00,95,338
Commodity Futures Trading Commission,Commodity Futures Trading Commission,339,00,95,339
Consumer Product Safety Commission,Consumer Product Safety Commission,343,00,61,061
Corporation for National and Community Service,Corporation for National and Community Service,485,00,95,485
Corporation for Public Broadcasting,Corporation for Public Broadcasting,344,00,20,020
Corporation for Travel Promotion,Corporation for Travel Promotion,580,00,95,580
Council of the Inspectors General on Integrity and Efficiency,Council of the Inspectors General on Integrity and Efficiency,542,00,95,542
Court Services and Offender Supervision Agency for the District of Columbia,Court Services and Offender Supervision Agency for the District of Columbia,511,00,95,511
Defense Nuclear Facilities Safety Board,Defense Nuclear Facilities Safety Board,347,00,95,347
Delta Regional Authority,Delta Regional Authority,517,00,95,517
Denali Commission,Denali Commission,513,00,95,513
District of Columbia,District of Columbia Courts,349,10,95,349
District of Columbia,District of Columbia General and Special Payments,349,30,20,020
Election Assistance Commission,Election Assistance Commission,525,00,95,525
Electric Reliability Organization,Electric Reliability Organization,531,00,95,n/a
Equal Employment Opportunity Commission,Equal Employment Opportunity Commission,350,00,45,045
Export-Import Bank of the United States,Export-Import Bank of the United States,351,00,83,083
Farm Credit Administration,Farm Credit Administration,352,00,78,352
Farm Credit System Insurance Corporation,Farm Credit System Insurance Corporation,355,00,78,352
Federal Communications Commission,Federal Communications Commission,356,00,27,027
Federal Deposit Insurance Corporation,Deposit Insurance,357,20,51,051
Federal Deposit Insurance Corporation,FSLIC Resolution,357,30,51,051
Federal Deposit Insurance Corporation,Orderly Liquidation,357,35,51,051
Federal Deposit Insurance Corporation,FDIC - Office of Inspector General,357,40,51,051
Federal Drug Control Programs,Federal Drug Control Programs,154,00,11,011
Federal Election Commission,Federal Election Commission,360,00,95,360
Federal Financial Institutions Examination Council,Federal Financial Institutions Examination Council,362,10,95,n/a
Federal Financial Institutions Examination Council,Federal Financial Institutions Examination Council Appraisal Subcommittee,362,20,95,362
Federal Housing Finance Agency,Federal Housing Finance Agency,537,00,95,537
Federal Labor Relations Authority,Federal Labor Relations Authority,365,00,54,054
Federal Maritime Commission,Federal Maritime Commission,366,00,65,065
Federal Mediation and Conciliation Service,Federal Mediation and Conciliation Service,367,00,93,093
Federal Mine Safety and Health Review Commission,Federal Mine Safety and Health Review Commission,368,00,95,368
Federal Retirement Thrift Investment Board,Federal Retirement Thrift Investment Board,369,00,26,026
Federal Trade Commission,Federal Trade Commission,370,00,29,029
Gulf Coast Ecosystem Restoration Council,Gulf Coast Ecosystem Restoration Council,586,00,95,471
Harry S Truman Scholarship Foundation,Harry S Truman Scholarship Foundation,372,00,95,372
Independent Payment Advisory Board,Independent Payment Advisory Board,578,00,95,n/a
Indian Law and Order Commission,Indian Law and Order Commission,584,00,48,584
Institute of American Indian and Alaska Native Culture and Arts Development,Institute of American Indian and Alaska Native Culture and Arts Development,373,00,95,373
Institute of Museum and Library Services,Institute of Museum and Library Services,474,00,59,417
Intelligence Community Management Account,Intelligence Community Management Account,467,00,95,467
International Trade Commission,International Trade Commission,378,00,34,034
James Madison Memorial Fellowship Foundation,James Madison Memorial Fellowship Foundation,381,00,95,381
Japan-United States Friendship Commission,Japan-United States Friendship Commission,382,00,95,382
Legal Services Corporation,Legal Services Corporation,385,00,20,020
Marine Mammal Commission,Marine Mammal Commission,387,00,95,387
Merit Systems Protection Board,Merit Systems Protection Board,389,00,41,389
Military Compensation and Retirement Modernization Commission,Military Compensation and Retirement Modernization Commission,479,00,48,479
Morris K. Udall and Stewart L. Udall Foundation,Morris K. Udall and Stewart L. Udall Foundation,487,00,95,487
National Archives and Records Administration,National Archives and Records Administration,393,00,88,088
National Capital Planning Commission,National Capital Planning Commission,394,00,95,394
National Council on Disability,National Council on Disability,413,00,95,413
National Credit Union Administration,National Credit Union Administration,415,00,25,025
National Endowment for the Arts,National Endowment for the Arts,417,00,59,417
National Endowment for the Humanities,National Endowment for the Humanities,418,00,59,417
National Infrastructure Bank,National Infrastructure Bank,538,00,95,n/a
National Labor Relations Board,National Labor Relations Board,420,00,63,420
National Mediation Board,National Mediation Board,421,00,95,421
National Railroad Passenger Corporation Office of Inspector General,National Railroad Passenger Corporation Office of Inspector General,575,00,48,575
National Transportation Safety Board,National Transportation Safety Board,424,00,95,424
Neighborhood Reinvestment Corporation,Neighborhood Reinvestment Corporation,428,00,82,082
Northern Border Regional Commission,Northern Border Regional Commission,573,00,95,573
Nuclear Regulatory Commission,Nuclear Regulatory Commission,429,00,31,031
Nuclear Waste Technical Review Board,Nuclear Waste Technical Review Board,431,00,48,431
Occupational Safety and Health Review Commission,Occupational Safety and Health Review Commission,432,00,95,432
Office of Government Ethics,Office of Government Ethics,434,00,95,434
Office of Navajo and Hopi Indian Relocation,Office of Navajo and Hopi Indian Relocation,435,00,48,435
Office of Special Counsel,Office of Special Counsel,436,00,62,062
Office of the Federal Coordinator for Alaska Natural Gas Transportation Projects,Office of the Federal Coordinator for Alaska Natural Gas Transportation Projects,534,00,95,534
Other Commissions and Boards,Other Commissions and Boards,505,00,48,377
Patient-Centered Outcomes Research Trust Fund,Patient-Centered Outcomes Research Trust Fund,579,00,95,579
Postal Service,Postal Service,440,00,18,018
Presidio Trust,Presidio Trust,512,00,95,512
Privacy and Civil Liberties Oversight Board,Privacy and Civil Liberties Oversight Board,535,00,95,535
Public Company Accounting Oversight Board,Public Company Accounting Oversight Board,526,00,95,n/a
Public Defender Service for the District of Columbia,Public Defender Service for the District of Columbia,587,00,95,511
Railroad Retirement Board,Railroad Retirement Board,446,00,60,060
Recovery Act Accountability and Transparency Board,Recovery Act Accountability and Transparency Board,539,00,95,539
Securities and Exchange Commission,Securities and Exchange Commission,449,00,50,050
Standard Setting Body,Standard Setting Body,527,00,95,n/a
Securities Investor Protection Corporation,Securities Investor Protection Corporation,576,00,95,n/a
Smithsonian Institution,Smithsonian Institution,452,00,33,033
State Justice Institute,State Justice Institute,453,00,48,453
Tennessee Valley Authority,Tennessee Valley Authority,455,00,64,455
United Mine Workers of America Benefit Funds,United Mine Workers of America Benefit Funds,476,00,95,n/a
United States Court of Appeals for Veterans Claims,United States Court of Appeals for Veterans Claims,345,00,95,345
United States Enrichment Corporation Fund,United States Enrichment Corporation Fund,486,00,95,486
United States Holocaust Memorial Museum,United States Holocaust Memorial Museum,456,00,95,456
United States Institute of Peace,United States Institute of Peace,458,00,95,458
United States Interagency Council on Homelessness,United States Interagency Council on Homelessness,376,00,48,376
Vietnam Education Foundation,Vietnam Education Foundation,519,00,95,519
Federal National Mortgage Association,Federal National Mortgage Association,915,00,39,915
Federal Home Loan Mortgage Corporation,Federal Home Loan Mortgage Corporation,914,00,39,914
Federal Home Loan Bank System,Federal Home Loan Bank System,913,00,39,913
Farm Credit System,Farm Credit System,912,00,39,912
Financing Vehicles and the Board of Governors of the Federal Reserve,Financing Vehicles and the Board of Governors of the Federal Reserve,920,00,39,920
